Area_Code_and_Description,Code,Description,2001_Census_total_families_in_occupied_private_dwellings,2006_Census_total_families_in_occupied_private_dwellings,2013_Census_total_families_in_occupied_private_dwellings,2001_Census_family_type_for_families_in_occupied_private_dwellings_Couple_without_children,2001_Census_family_type_for_families_in_occupied_private_dwellings_Couple_with_child(ren),2001_Census_family_type_for_families_in_occupied_private_dwellings_One_parent_with_child(ren),2001_Census_family_type_for_families_in_occupied_private_dwellings_Total_families_in_occupied_private_dwellings,2006_Census_family_type_for_families_in_occupied_private_dwellings_Couple_without_children,2006_Census_family_type_for_families_in_occupied_private_dwellings_Couple_with_child(ren),2006_Census_family_type_for_families_in_occupied_private_dwellings_One_parent_with_child(ren),2006_Census_family_type_for_families_in_occupied_private_dwellings_Total_families_in_occupied_private_dwellings,2013_Census_family_type_for_families_in_occupied_private_dwellings_Couple_without_children,2013_Census_family_type_for_families_in_occupied_private_dwellings_Couple_with_child(ren),2013_Census_family_type_for_families_in_occupied_private_dwellings_One_parent_with_child(ren),2013_Census_family_type_for_families_in_occupied_private_dwellings_Total_families_in_occupied_private_dwellings,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$20000_or_Less,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$20001–$30000,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$30001–$50000,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$50001–$70000,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$70001–$100000,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$100001_or_More,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Total_families_stated,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Not_Stated(4),2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Total_families_in_occupied_private_dwellings,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Median_family_income_($)(5)(10),2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$20000_or_Less,2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$20001–$30000,2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$30001–$50000,2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$50001–$70000,2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$70001–$100000,2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$100001_or_More,2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Total_families_stated,2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Not_Stated(4),2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Total_families_in_occupied_private_dwellings,2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Median_family_income_($)(5)(10),2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$20000_or_Less,2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$20001–$30000,2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$30001–$50000,2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$50001–$70000,2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$70001–$100000,2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$100001_or_More,2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Total_families_stated,2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Not_Stated(4),2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Total_families_in_occupied_private_dwellings,2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Median_family_income_($)(5)(10),2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Wages_Salary_Commissions_Bonuses_etc,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Self-employment_or_Business,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Interest_Dividends_Rent_Other_Invest.,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Payments_from_a_Work_Accident_Insurer,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_NZ_Superannuation_or_Veterans_Pension,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Other_Super._Pensions_Annuities,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Unemployment_Benefit,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Sickness_Benefit,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Domestic_Purposes_Benefit,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Invalids_Benefit,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Student_Allowance,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Other_Govt_Benefits_Payments_or_Pension,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Other_Sources_of_Income,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_No_Source_of_Income_During_That_Time,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Total_families_stated,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Not_Stated,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Total_families_in_occupied_private_dwellings,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Wages_Salary_Commissions_Bonuses_etc,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Self-employment_or_Business,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Interest_Dividends_Rent_Other_Invest.,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Payments_from_a_Work_Accident_Insurer,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_NZ_Superannuation_or_Veterans_Pension,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Other_Super._Pensions_Annuities,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Unemployment_Benefit,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Sickness_Benefit,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Domestic_Purposes_Benefit,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Invalids_Benefit,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Student_Allowance,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Other_Govt_Benefits_Payments_or_Pension,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Other_Sources_of_Income,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_No_Source_of_Income_During_That_Time,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Total_families_stated,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Not_Stated,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Total_families_in_occupied_private_dwellings,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Wages_Salary_Commissions_Bonuses_etc,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Self-employment_or_Business,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Interest_Dividends_Rent_Other_Invest.,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Payments_from_a_Work_Accident_Insurer,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_NZ_Superannuation_or_Veterans_Pension,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Other_Super._Pensions_Annuities,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Unemployment_Benefit,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Sickness_Benefit,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Domestic_Purposes_Benefit,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Invalids_Benefit,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Student_Allowance,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Other_Govt_Benefits_Payments_or_Pension,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Other_Sources_of_Income,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_No_Source_of_Income_During_That_Time,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Total_families_stated,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Not_Stated,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Total_families_in_private_occupied_dwellings
500100 Awanui,500100,Awanui,78,84,75,15,33,30,75,24,36,24,81,18,33,24,75,21,12,15,12,3,3,66,9,78,32500,15,9,21,9,6,3,63,18,84,34200,9,9,12,12,12,15,69,6,75,61700,48,18,3,3,6,3,6,3,15,6,0,9,0,0,72,3,75,54,18,3,3,9,3,9,3,12,6,0,6,0,0,81,3,81,54,18,3,3,3,0,6,3,15,3,0,12,3,0,75,3,75
500202 Karikari Peninsula-Maungataniwha,500202,Karikari Peninsula-Maungataniwha,1068,1143,1212,417,438,213,1065,486,423,234,1143,585,405,225,1212,255,195,186,102,42,51,831,237,1068,28600,150,192,255,135,120,81,930,216,1143,37800,135,195,258,174,153,129,1044,168,1212,44700,546,345,243,48,153,39,174,51,135,63,21,93,27,9,1041,30,1068,663,423,264,45,171,36,90,84,135,72,9,63,39,9,1122,21,1146,687,399,273,33,276,48,90,51,123,63,33,105,24,15,1191,21,1212
500203 Taipa Bay-Mangonui,500203,Taipa Bay-Mangonui,438,444,468,267,105,69,438,249,117,75,441,267,111,90,468,102,99,75,48,30,24,375,60,438,28900,51,102,81,66,42,36,375,66,441,37900,39,72,108,69,69,63,420,45,468,48600,207,144,177,15,129,33,45,15,39,12,6,39,9,0,429,9,438,231,144,156,9,129,30,18,15,48,21,6,24,15,3,429,12,444,228,147,147,9,150,39,18,15,54,21,6,39,9,3,462,3,465
500204 Herekino,500204,Herekino,501,504,540,177,234,90,501,189,222,90,504,189,237,111,540,87,90,99,66,45,30,417,87,501,37800,42,63,111,87,72,51,423,81,504,49700,42,51,102,78,96,81,453,90,540,60100,321,168,123,21,81,15,54,30,36,18,12,42,12,6,492,9,501,351,186,117,18,75,9,24,27,33,27,9,27,12,9,492,9,504,369,171,111,21,105,12,36,21,45,27,15,57,12,6,525,15,540
500205 Ahipara,500205,Ahipara,267,273,276,93,99,75,267,105,105,63,273,117,93,69,276,57,48,48,33,9,18,213,57,270,29500,30,42,51,24,33,30,210,63,273,42100,24,42,57,33,39,36,234,42,273,46300,159,66,72,6,45,3,42,9,54,9,6,36,6,3,264,6,267,174,75,63,6,45,6,24,18,33,12,6,21,12,3,261,12,273,174,63,60,6,51,9,24,15,36,9,6,21,12,3,264,9,276
500206 North Cape,500206,North Cape,129,126,111,30,63,39,132,36,60,30,126,33,45,33,114,27,39,24,9,3,3,102,27,129,27200,15,21,30,21,9,6,102,24,126,37500,15,15,21,21,15,6,93,21,114,40800,69,21,9,0,15,6,33,9,21,15,6,21,3,0,126,6,132,81,24,9,3,18,0,21,12,15,12,0,18,6,0,123,3,126,66,18,6,0,21,3,9,9,18,6,0,12,6,0,108,3,111
500207 Houhora,500207,Houhora,246,246,258,114,90,42,246,135,75,33,246,135,81,42,261,48,36,51,30,12,12,189,54,243,34400,30,48,69,36,15,15,213,36,246,36500,18,33,72,33,39,27,219,39,258,45000,144,75,54,9,48,12,21,3,27,6,3,21,3,3,240,6,246,153,84,66,9,54,3,24,9,18,9,3,9,3,6,240,6,246,147,84,60,6,78,9,15,6,21,6,6,12,3,3,255,6,258
500208 Motutangi-Kareponia,500208,Motutangi-Kareponia,411,480,447,153,168,93,411,189,198,99,480,180,174,93,450,93,57,81,51,18,27,324,87,411,31500,66,63,93,72,63,45,402,78,483,43800,39,57,78,69,54,81,375,72,447,55000,243,144,84,18,72,12,54,18,48,18,3,39,12,0,402,9,411,324,165,105,24,78,6,21,24,45,27,3,30,12,3,474,6,483,300,156,84,6,84,12,27,18,45,21,9,33,12,0,438,6,450
500301 Kaitaia West,500301,Kaitaia West,708,753,669,231,261,216,708,231,255,267,753,195,213,264,669,156,132,153,63,36,21,561,147,708,29400,126,135,150,87,60,36,594,156,750,34200,87,93,150,78,78,57,537,132,669,38800,414,114,120,21,123,33,120,51,120,45,18,63,18,6,690,18,708,462,108,96,30,117,27,72,42,153,54,12,63,18,6,726,27,750,381,75,66,9,129,21,69,33,132,39,18,66,12,3,645,27,669
500302 Kaitaia East,500302,Kaitaia East,438,459,396,141,174,123,441,147,174,135,459,126,129,144,396,93,75,84,51,30,12,345,93,441,31300,69,81,78,60,45,27,360,99,459,35700,57,54,78,42,42,42,315,84,396,39400,261,66,99,12,84,21,60,21,78,18,9,45,15,0,426,12,441,285,66,75,12,90,21,48,15,87,18,9,33,9,3,438,24,459,228,39,42,9,69,12,42,15,81,27,6,33,9,6,387,9,396
500401 Kaeo,500401,Kaeo,117,111,108,33,48,36,114,39,45,27,108,39,27,42,108,27,27,15,12,3,3,90,27,114,27000,12,18,18,18,12,3,81,30,111,37500,9,12,27,15,15,6,84,24,108,43300,66,24,18,3,18,3,18,9,21,6,3,12,6,0,114,0,117,72,24,18,3,21,3,9,9,12,3,0,9,3,0,102,3,111,69,24,12,3,24,3,12,9,18,6,0,6,3,0,102,3,108
500402 Mangapa-Matauri Bay,500402,Mangapa-Matauri Bay,666,663,657,264,264,141,666,297,255,111,663,303,225,129,657,168,108,114,60,27,36,516,150,666,28600,90,111,129,90,63,51,534,129,663,39300,72,84,135,96,108,69,567,93,657,48900,360,216,162,24,105,27,99,33,81,36,15,69,18,3,657,9,666,432,243,153,24,111,18,42,27,63,30,12,51,18,9,648,15,666,384,225,141,21,138,18,39,33,69,33,15,63,15,3,648,6,657
500500 Kohukohu,500500,Kohukohu,36,42,42,12,15,12,39,18,15,9,39,21,9,12,42,12,6,6,0,0,0,27,12,36,21300,12,6,9,3,3,0,36,3,39,27500,12,6,9,0,3,0,33,12,42,25400,15,9,6,0,3,3,12,3,3,0,0,0,0,3,36,0,39,24,9,12,0,3,3,6,6,3,6,0,6,3,0,42,0,42,21,12,6,0,9,3,3,0,3,6,3,3,3,0,42,0,42
500600 Rawene,500600,Rawene,111,108,117,36,27,42,111,45,27,33,105,45,27,48,117,33,18,15,9,3,3,84,24,108,25300,18,18,27,9,3,12,90,15,108,32500,12,18,27,15,12,9,93,24,117,37500,45,18,21,6,27,6,18,12,27,3,3,9,0,3,108,0,108,66,30,24,3,24,6,18,6,15,6,0,6,3,0,102,6,108,60,21,18,3,27,9,9,6,21,3,0,6,0,3,108,9,117
500700 Omapere and Opononi,500700,Omapere and Opononi,120,111,99,48,36,36,117,42,27,39,108,39,18,42,102,42,24,18,3,3,0,93,27,117,22500,18,21,18,15,6,6,81,27,108,30400,24,21,18,9,9,3,81,21,102,28500,48,18,15,3,30,3,27,6,21,6,3,15,3,0,117,0,117,57,21,12,3,21,3,12,3,21,6,6,6,3,0,102,6,108,54,21,6,3,15,3,12,9,24,3,6,9,3,0,96,3,102
500801 Hokianga North,500801,Hokianga North,462,474,432,135,192,132,462,141,198,138,477,168,153,114,435,138,75,63,36,18,21,351,111,462,26500,81,99,87,36,18,21,348,126,477,27800,63,75,75,51,45,24,336,96,432,35700,201,123,51,15,66,15,102,27,75,36,12,63,12,3,450,15,462,249,111,48,15,84,6,90,42,60,36,9,27,12,3,459,18,474,201,108,45,15,96,6,42,42,63,33,27,27,12,3,414,21,435
500802 Hokianga South,500802,Hokianga South,624,645,645,186,249,186,624,219,222,204,645,255,210,180,645,204,114,78,36,21,21,474,147,624,24600,126,117,108,63,39,24,480,168,642,29800,105,105,138,63,66,39,513,132,645,33900,276,171,84,21,75,18,162,45,126,42,24,84,18,3,606,18,621,315,174,87,18,93,12,102,54,120,60,18,39,18,3,621,21,645,312,174,84,15,135,18,66,63,102,60,21,51,18,3,630,15,645
500900 Kerikeri,500900,Kerikeri,1362,1647,1836,693,447,222,1365,795,582,270,1647,900,627,312,1836,216,240,309,216,108,102,1191,174,1365,38600,108,252,345,270,243,228,1449,198,1644,51300,129,159,399,321,300,330,1638,198,1836,57700,789,552,600,30,324,120,69,30,114,27,24,96,42,12,1347,18,1365,1062,633,696,27,390,120,30,45,105,27,24,102,45,6,1629,18,1647,1101,600,648,51,519,138,54,54,141,30,27,168,54,15,1809,27,1836
501000 Russell,501000,Russell,207,204,210,114,60,33,207,132,51,18,204,132,60,21,210,30,42,51,30,9,15,177,30,207,36000,18,30,42,39,24,24,174,27,201,51500,18,21,42,42,30,36,189,18,210,55600,108,105,96,3,45,24,15,6,18,3,0,15,3,0,201,3,207,120,111,81,6,45,21,3,0,9,3,0,6,6,0,198,3,201,114,99,84,6,69,18,6,0,9,3,0,15,6,0,207,0,210
501100 Paihia,501100,Paihia,444,471,459,270,108,69,444,285,120,66,471,291,102,69,459,72,87,90,60,30,33,372,72,444,34700,51,66,96,60,63,63,399,72,471,47500,33,39,105,72,87,57,396,63,459,54300,273,162,168,12,111,33,21,12,39,15,6,18,6,0,438,9,444,291,174,174,12,108,21,15,15,33,9,3,21,12,3,462,9,471,285,150,150,6,138,24,15,12,18,12,6,27,15,0,450,12,459
501200 Haruru Falls,501200,Haruru Falls,183,216,243,90,54,39,183,123,60,33,216,126,66,51,240,21,36,42,27,12,9,153,30,180,36100,24,30,51,39,24,15,183,33,216,45600,21,24,54,45,48,27,216,24,243,51800,114,75,60,6,30,9,12,3,18,3,0,9,9,0,177,3,180,147,69,51,9,39,15,6,3,18,3,6,15,3,0,210,6,216,159,66,51,6,57,21,9,12,18,3,3,24,0,0,240,3,240
501300 Opua East,501300,Opua East,96,111,90,51,27,18,93,66,33,15,111,60,21,9,93,15,18,15,21,6,3,78,15,93,36700,9,12,18,21,15,18,93,21,114,60000,6,6,18,18,12,15,78,15,93,58300,54,36,33,3,18,9,6,3,9,3,3,3,0,3,93,3,96,63,54,48,3,21,9,3,3,6,3,0,6,3,3,108,3,111,54,36,33,3,33,12,3,3,3,0,3,3,0,0,90,0,93
501400 Kawakawa,501400,Kawakawa,333,324,282,87,138,108,333,102,126,96,324,75,111,93,285,78,51,63,33,21,9,252,81,333,29300,45,39,63,42,33,18,234,90,324,41100,45,45,48,36,33,24,228,54,285,40700,204,60,45,12,36,9,54,24,66,27,9,42,6,3,318,12,333,231,39,42,15,30,9,45,18,51,15,3,24,12,3,306,15,321,180,39,36,9,36,9,33,21,54,12,6,27,6,3,279,6,285
