Area_Code_and_Description,Code,Description,2001_Census_total_families_in_occupied_private_dwellings,2006_Census_total_families_in_occupied_private_dwellings,2013_Census_total_families_in_occupied_private_dwellings,2001_Census_family_type_for_families_in_occupied_private_dwellings_Couple_without_children,2001_Census_family_type_for_families_in_occupied_private_dwellings_Couple_with_child(ren),2001_Census_family_type_for_families_in_occupied_private_dwellings_One_parent_with_child(ren),2001_Census_family_type_for_families_in_occupied_private_dwellings_Total_families_in_occupied_private_dwellings,2006_Census_family_type_for_families_in_occupied_private_dwellings_Couple_without_children,2006_Census_family_type_for_families_in_occupied_private_dwellings_Couple_with_child(ren),2006_Census_family_type_for_families_in_occupied_private_dwellings_One_parent_with_child(ren),2006_Census_family_type_for_families_in_occupied_private_dwellings_Total_families_in_occupied_private_dwellings,2013_Census_family_type_for_families_in_occupied_private_dwellings_Couple_without_children,2013_Census_family_type_for_families_in_occupied_private_dwellings_Couple_with_child(ren),2013_Census_family_type_for_families_in_occupied_private_dwellings_One_parent_with_child(ren),2013_Census_family_type_for_families_in_occupied_private_dwellings_Total_families_in_occupied_private_dwellings,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$20000_or_Less,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$20001–$30000,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$30001–$50000,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$50001–$70000,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$70001–$100000,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$100001_or_More,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Total_families_stated,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Not_Stated(4),2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Total_families_in_occupied_private_dwellings,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Median_family_income_($)(5)(10),2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$20000_or_Less,2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$20001–$30000,2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$30001–$50000,2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$50001–$70000,2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$70001–$100000,2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$100001_or_More,2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Total_families_stated,2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Not_Stated(4),2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Total_families_in_occupied_private_dwellings,2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Median_family_income_($)(5)(10),2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$20000_or_Less,2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$20001–$30000,2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$30001–$50000,2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$50001–$70000,2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$70001–$100000,2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$100001_or_More,2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Total_families_stated,2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Not_Stated(4),2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Total_families_in_occupied_private_dwellings,2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Median_family_income_($)(5)(10),2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Wages_Salary_Commissions_Bonuses_etc,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Self-employment_or_Business,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Interest_Dividends_Rent_Other_Invest.,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Payments_from_a_Work_Accident_Insurer,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_NZ_Superannuation_or_Veterans_Pension,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Other_Super._Pensions_Annuities,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Unemployment_Benefit,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Sickness_Benefit,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Domestic_Purposes_Benefit,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Invalids_Benefit,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Student_Allowance,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Other_Govt_Benefits_Payments_or_Pension,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Other_Sources_of_Income,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_No_Source_of_Income_During_That_Time,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Total_families_stated,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Not_Stated,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Total_families_in_occupied_private_dwellings,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Wages_Salary_Commissions_Bonuses_etc,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Self-employment_or_Business,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Interest_Dividends_Rent_Other_Invest.,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Payments_from_a_Work_Accident_Insurer,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_NZ_Superannuation_or_Veterans_Pension,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Other_Super._Pensions_Annuities,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Unemployment_Benefit,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Sickness_Benefit,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Domestic_Purposes_Benefit,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Invalids_Benefit,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Student_Allowance,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Other_Govt_Benefits_Payments_or_Pension,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Other_Sources_of_Income,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_No_Source_of_Income_During_That_Time,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Total_families_stated,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Not_Stated,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Total_families_in_occupied_private_dwellings,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Wages_Salary_Commissions_Bonuses_etc,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Self-employment_or_Business,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Interest_Dividends_Rent_Other_Invest.,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Payments_from_a_Work_Accident_Insurer,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_NZ_Superannuation_or_Veterans_Pension,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Other_Super._Pensions_Annuities,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Unemployment_Benefit,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Sickness_Benefit,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Domestic_Purposes_Benefit,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Invalids_Benefit,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Student_Allowance,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Other_Govt_Benefits_Payments_or_Pension,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Other_Sources_of_Income,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_No_Source_of_Income_During_That_Time,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Total_families_stated,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Not_Stated,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Total_families_in_private_occupied_dwellings
CMB 07601 Rodney Local Board Area,07601,Rodney Local Board Area,11754,13800,15579,4995,5160,1602,11754,5784,6222,1791,13797,6873,6744,1962,15579,1383,1461,2211,1932,1422,1533,9939,1818,11754,49300,852,1299,2139,2238,2358,3198,12084,1713,13797,65600,747,960,2331,2013,2805,5136,13992,1590,15579,80100,7860,5316,4365,354,1806,537,546,258,789,186,249,609,330,60,11640,114,11754,9558,6273,5160,459,2196,549,216,306,828,261,249,723,447,75,13662,138,13800,10779,6657,5205,450,3186,648,375,387,822,264,423,1083,438,87,15447,132,15579
CMB 07602 Hibiscus and Bays Local Board Area,07602,Hibiscus and Bays Local Board Area,20289,23475,25890,8259,9168,2862,20289,9513,10773,3189,23475,10590,11850,3447,25890,2022,2313,3288,3438,3057,3330,17445,2844,20289,56400,1239,2124,3138,3279,4410,6729,20925,2550,23475,74600,1032,1365,3690,3033,4704,9867,23691,2199,25890,87400,14469,6840,8436,489,3594,1356,810,273,1146,282,642,942,714,186,20127,165,20289,17337,7932,9471,564,4053,1395,345,411,1053,330,618,1212,909,180,23301,177,23475,19197,8370,9006,495,5469,1434,606,576,1047,357,1113,1830,843,180,25698,192,25890
CMB 07603 Upper Harbour Local Board Area,07603,Upper Harbour Local Board Area,8769,11934,14925,3036,4617,1116,8769,4188,6237,1509,11931,5256,7839,1830,14925,708,669,1197,1533,1551,1824,7485,1287,8772,65300,813,810,1392,1536,2136,3714,10401,1533,11934,79200,996,756,1842,1692,2406,5823,13515,1407,14922,88300,6741,3105,3642,168,747,339,324,87,336,66,342,339,345,138,8697,72,8769,9015,4176,4512,213,1179,426,234,189,345,93,513,645,513,234,11826,102,11931,11343,4944,4602,207,1818,489,336,291,390,141,921,1038,609,294,14757,168,14925
CMB 07604 Kaipatiki Local Board Area,07604,Kaipatiki Local Board Area,19641,21375,22539,7176,8826,3639,19641,7989,9567,3816,21372,8427,10401,3711,22536,2415,2022,3243,3549,2871,2727,16827,2811,19641,54100,1797,1770,3015,3204,3990,4959,18738,2640,21372,67400,1401,1317,3063,2835,4305,7407,20331,2208,22536,80800,14931,5349,6660,462,2157,876,1179,390,1461,303,1014,1200,726,261,19434,207,19641,16938,5826,6603,468,2265,780,660,585,1221,336,1041,1494,918,282,21126,249,21375,17820,6069,5811,372,3012,738,786,687,1059,369,1359,2073,810,273,22272,267,22539
CMB 07605 Devonport-Takapuna Local Board Area,07605,Devonport-Takapuna Local Board Area,13404,14460,15462,5496,5787,2121,13404,5772,6519,2169,14460,5997,7254,2208,15462,1248,1290,1941,2136,1854,3060,11529,1875,13404,62000,924,1008,1770,1806,2295,5046,12849,1611,14463,82000,807,690,1740,1620,2436,6795,14094,1368,15462,96900,9645,4551,6426,225,2196,894,573,156,549,153,609,627,591,195,13284,120,13407,10776,5130,6576,237,2109,762,270,234,471,150,573,753,708,201,14340,120,14460,11652,5421,6096,186,2697,723,399,261,417,186,807,1056,645,213,15351,111,15462
CMB 07606 Henderson-Massey Local Board Area,07606,Henderson-Massey Local Board Area,22014,25692,28719,6615,10230,5169,22014,7803,11847,6045,25692,8703,13332,6681,28719,3351,2565,3954,3885,2616,1467,17835,4176,22011,45500,2511,2691,4155,4017,4341,3744,21462,4230,25695,56800,2418,2205,4581,3909,5301,6432,24852,3870,28719,66400,16005,4539,4929,591,2445,747,1890,684,2670,594,966,1668,627,264,21579,435,22014,19416,5280,5220,642,2841,684,1107,1122,2688,786,1029,1950,870,303,25272,420,25695,21372,5475,4539,531,3573,663,1641,1515,2736,870,1758,3027,870,372,28155,564,28719
CMB 07607 Waitakere Ranges Local Board Area,07607,Waitakere Ranges Local Board Area,11322,12348,13329,3747,5466,2106,11319,4125,5946,2274,12348,4407,6432,2490,13329,1185,1068,1800,2127,1779,1572,9531,1788,11319,56700,738,1005,1710,1815,2304,3102,10671,1677,12348,70900,654,741,1728,1644,2571,4602,11943,1386,13329,83900,8727,3705,3519,282,1095,336,702,285,1023,219,384,606,378,75,11193,129,11319,9729,4080,3747,306,1131,348,354,357,924,234,360,756,474,84,12204,144,12348,10434,4155,3345,261,1605,390,519,480,918,282,693,1197,417,81,13176,153,13329
CMB 07608 Great Barrier Local Board Area,07608,Great Barrier Local Board Area,231,198,231,96,81,57,231,105,54,39,198,132,63,42,231,72,48,33,18,3,9,183,45,231,23900,39,36,36,18,18,15,165,33,195,32500,27,39,54,42,27,18,213,21,231,41900,105,105,69,6,30,3,39,9,33,15,3,24,6,0,222,9,231,102,93,69,6,39,6,18,3,24,15,3,9,9,0,195,0,198,129,105,75,6,66,12,18,9,15,12,3,18,9,0,231,0,231
CMB 07609 Waiheke Local Board Area,07609,Waiheke Local Board Area,1854,2091,2253,864,549,438,1854,960,687,444,2091,1101,753,402,2253,372,291,354,234,165,156,1572,279,1854,36500,195,276,378,303,261,384,1794,297,2091,53000,135,195,423,291,360,627,2028,228,2253,68300,1152,735,546,45,288,96,141,72,255,48,45,105,63,12,1824,33,1854,1398,948,723,51,297,105,60,90,210,48,33,135,78,15,2067,24,2091,1461,969,717,48,477,114,72,75,153,36,60,174,69,15,2232,21,2256
CMB 07610 Waitemata Local Board Area,07610,Waitemata Local Board Area,10011,13044,16617,5208,3270,1533,10011,7371,3840,1833,13044,9444,5064,2115,16617,849,597,1137,1296,1446,3333,8658,1356,10011,79400,1032,690,1257,1344,1803,5457,11583,1464,13044,94400,1179,723,1623,1611,2490,7401,15027,1590,16617,98600,7809,4035,4362,126,699,240,663,174,408,120,570,333,501,132,9861,150,10011,10353,4869,5535,144,843,288,378,231,372,135,642,522,885,279,12891,153,13044,13104,5781,5928,189,1449,342,462,330,333,156,1065,780,912,351,16395,222,16620
CMB 07611 Whau Local Board Area,07611,Whau Local Board Area,15579,17778,19110,5007,7113,3459,15579,5976,8145,3663,17781,6243,8976,3891,19110,2427,1938,2721,2541,1824,1146,12603,2976,15579,44400,2055,1803,3009,2643,2844,2610,14967,2814,17781,54700,1773,1569,3078,2526,3360,4401,16710,2403,19110,65200,11076,3399,3915,330,2010,510,1392,582,1467,399,852,1260,435,252,15315,264,15579,13242,3819,4128,312,2190,450,909,804,1260,432,948,1266,606,303,17475,303,17778,14034,4026,3648,258,2553,459,1086,1011,1353,498,1374,1785,528,324,18756,354,19110
CMB 07612 Albert-Eden Local Board Area,07612,Albert-Eden Local Board Area,19671,22101,23265,7287,8850,3534,19674,8046,10275,3780,22101,8040,11406,3822,23265,2511,1695,2634,2760,2742,4446,16785,2883,19671,61200,2001,1659,2634,2556,3180,7266,19299,2802,22101,77500,1563,1257,2511,2343,3468,9825,20970,2295,23265,94300,14676,6246,7800,282,1689,561,1542,405,1131,279,1221,1107,819,321,19371,300,19671,17352,7269,8502,294,1608,498,900,555,963,300,1179,1263,1143,381,21852,249,22101,18360,7791,8142,264,2247,543,816,630,849,291,1566,1608,960,333,22983,282,23265
CMB 07613 Puketapapa Local Board Area,07613,Puketapapa Local Board Area,11481,12810,13878,3633,5628,2217,11481,3951,6534,2325,12810,4476,6942,2460,13878,1863,1227,1731,1611,1416,1479,9321,2160,11481,48200,1446,1212,1773,1683,1917,2610,10644,2166,12810,60600,1377,1017,1866,1710,2214,3984,12159,1716,13878,71600,7974,2853,3798,180,1428,393,999,333,807,225,696,858,408,210,11256,225,11481,9465,3216,3885,171,1416,354,702,594,723,225,849,816,423,252,12582,225,12810,10212,3369,3453,150,1785,360,831,690,747,306,1149,1092,405,243,13635,243,13875
CMB 07614 Orakei Local Board Area,07614,Orakei Local Board Area,18411,20166,21750,7566,8247,2598,18414,8103,9408,2652,20163,8616,10368,2763,21747,1356,1239,2067,2385,2619,6261,15927,2484,18414,80500,1035,975,1854,2001,2844,9402,18108,2055,20166,100000,798,702,1755,1818,2955,11922,19947,1800,21750,124000,13422,7209,10140,246,2619,930,792,204,549,150,783,642,837,243,18198,213,18414,15276,8136,10722,273,2829,939,456,258,486,174,720,861,894,210,20007,159,20166,16779,8352,10437,225,3708,876,450,378,405,174,900,1125,879,204,21567,180,21747
CMB 07615 Maungakiekie-Tamaki Local Board Area,07615,Maungakiekie-Tamaki Local Board Area,14856,16788,17631,5019,6126,3711,14856,5709,6999,4083,16788,5973,7587,4074,17634,2661,1638,2286,2247,1650,1308,11790,3063,14856,44200,1995,1479,2397,2364,2544,2994,13779,3009,16788,58600,1812,1245,2397,2148,2952,4686,15243,2391,17634,70200,10542,2625,3180,252,1467,363,1407,588,1776,471,765,1197,408,222,14520,336,14856,12633,3180,3528,285,1452,336,1059,807,1614,522,792,1251,540,210,16449,342,16788,13218,3219,3393,231,1932,396,1071,966,1542,465,1038,1689,486,243,17268,366,17631
CMB 07616 Howick Local Board Area,07616,Howick Local Board Area,26055,32280,36603,9009,13332,3714,26055,10779,16809,4695,32277,12522,19032,5052,36600,2952,2349,3615,4161,4263,4587,21927,4128,26055,59800,2670,2481,4143,4239,5778,8883,28191,4089,32277,72900,2667,2172,4722,4224,6513,12882,33183,3420,36603,82900,19068,7521,10893,444,3009,1137,1134,378,1008,282,1248,1203,957,483,25716,342,26058,24606,9303,11829,555,3564,1173,858,621,1050,339,1611,1683,1269,582,31947,330,32277,27858,9981,10872,534,5262,1149,1074,1020,1041,438,2223,2514,1119,681,36129,474,36603
CMB 07617 Mangere-Otahuhu Local Board Area,07617,Mangere-Otahuhu Local Board Area,13344,15342,16794,2802,6414,4128,13344,3174,7578,4590,15345,3645,8100,5052,16794,2727,1575,2124,1641,828,435,9333,4011,13344,33300,2076,1521,2532,2046,1758,1107,11037,4305,15342,44700,2391,1500,2502,2124,2385,2046,12948,3846,16794,50700,8691,1422,1323,231,1083,318,1779,825,2097,609,651,1323,270,249,12744,600,13344,10935,1599,1371,240,1257,282,1452,1059,2010,639,753,1194,366,261,14802,540,15342,11478,1536,1209,219,1680,339,1440,1281,2145,597,1284,1836,351,345,16026,768,16794
