Area_Code_and_Description,Code,Description,2001_Census_occupied_private_dwelling_type_Separate_House,2001_Census_occupied_private_dwelling_type_Two_or_More_Flats/Units/Townhouses/_Apartments/Houses_Joined_Together,2001_Census_occupied_private_dwelling_type_Other_Occupied_Private_Dwellings(1),2001_Census_occupied_private_dwelling_type_Occupied_Private_Dwelling_Not_Further_Defined,2001_Census_occupied_private_dwelling_type_Total_occupied_private_dwellings,2006_Census_occupied_private_dwelling_type_Separate_House,2006_Census_occupied_private_dwelling_type_Two_or_More_Flats/Units/Townhouses/_Apartments/Houses_Joined_Together,2006_Census_occupied_private_dwelling_type_Other_Occupied_Private_Dwellings(1),2006_Census_occupied_private_dwelling_type_Occupied_Private_Dwelling_Not_Further_Defined,2006_Census_occupied_private_dwelling_type_Total_occupied_private_dwellings,2013_Census_occupied_private_dwelling_type_Separate_House,2013_Census_occupied_private_dwelling_type_Two_or_More_Flats/Units/Townhouses/_Apartments/Houses_Joined_Together,2013_Census_occupied_private_dwelling_type_Other_Occupied_Private_Dwellings(1),2013_Census_occupied_private_dwelling_type_Occupied_Private_Dwelling_Not_Further_Defined,2013_Census_occupied_private_dwelling_type_Total_occupied_private_dwellings,2001_Census_dwelling_record_type_for_occupied_dwellings_Occupied_Private_Dwelling,2001_Census_dwelling_record_type_for_occupied_dwellings_Occupied_Non-private_Dwelling,2001_Census_dwelling_record_type_for_occupied_dwellings_Total_occupied_dwellings,2006_Census_dwelling_record_type_for_occupied_dwellings_Occupied_Private_Dwelling,2006_Census_dwelling_record_type_for_occupied_dwellings_Occupied_Non-private_Dwelling,2006_Census_dwelling_record_type_for_occupied_dwellings_Total_occupied_dwellings,2013_Census_dwelling_record_type_for_occupied_dwellings_Occupied_Private_Dwelling,2013_Census_dwelling_record_type_for_occupied_dwellings_Occupied_Non-private_Dwelling,2013_Census_dwelling_record_type_for_occupied_dwellings_Total_occupied_dwellings,2001_Census_number_of_rooms_for_occupied_private_dwellings_One_Room,2001_Census_number_of_rooms_for_occupied_private_dwellings_Two_Rooms,2001_Census_number_of_rooms_for_occupied_private_dwellings_Three_Rooms,2001_Census_number_of_rooms_for_occupied_private_dwellings_Four_Rooms,2001_Census_number_of_rooms_for_occupied_private_dwellings_Five_Rooms,2001_Census_number_of_rooms_for_occupied_private_dwellings_Six_Rooms,2001_Census_number_of_rooms_for_occupied_private_dwellings_Seven_Rooms,2001_Census_number_of_rooms_for_occupied_private_dwellings_Eight_or_More_Rooms,2001_Census_number_of_rooms_for_occupied_private_dwellings_Total_dwellings_stated,2001_Census_number_of_rooms_for_occupied_private_dwellings_Not_Elsewhere_Included(2),2001_Census_number_of_rooms_for_occupied_private_dwellings_Total_occupied_private_dwellings,2006_Census_number_of_rooms_for_occupied_private_dwellings_One_Room,2006_Census_number_of_rooms_for_occupied_private_dwellings_Two_Rooms,2006_Census_number_of_rooms_for_occupied_private_dwellings_Three_Rooms,2006_Census_number_of_rooms_for_occupied_private_dwellings_Four_Rooms,2006_Census_number_of_rooms_for_occupied_private_dwellings_Five_Rooms,2006_Census_number_of_rooms_for_occupied_private_dwellings_Six_Rooms,2006_Census_number_of_rooms_for_occupied_private_dwellings_Seven_Rooms,2006_Census_number_of_rooms_for_occupied_private_dwellings_Eight_or_More_Rooms,2006_Census_number_of_rooms_for_occupied_private_dwellings_Total_dwellings_stated,2006_Census_number_of_rooms_for_occupied_private_dwellings_Not_Elsewhere_Included(2),2006_Census_number_of_rooms_for_occupied_private_dwellings_Total_occupied_private_dwellings,2013_Census_number_of_rooms_for_occupied_private_dwellings_One_Room,2013_Census_number_of_rooms_for_occupied_private_dwellings_Two_Rooms,2013_Census_number_of_rooms_for_occupied_private_dwellings_Three_Rooms,2013_Census_number_of_rooms_for_occupied_private_dwellings_Four_Rooms,2013_Census_number_of_rooms_for_occupied_private_dwellings_Five_Rooms,2013_Census_number_of_rooms_for_occupied_private_dwellings_Six_Rooms,2013_Census_number_of_rooms_for_occupied_private_dwellings_Seven_Rooms,2013_Census_number_of_rooms_for_occupied_private_dwellings_Eight_or_More_Rooms,2013_Census_number_of_rooms_for_occupied_private_dwellings_Total_dwellings_stated,2013_Census_number_of_rooms_for_occupied_private_dwellings_Not_Elsewhere_Included(2),2013_Census_number_of_rooms_for_occupied_private_dwellings_Total_occupied_private_dwellings,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_One_Bedroom,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Two_Bedrooms,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Three_Bedrooms,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Four_Bedrooms,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Five_Bedrooms,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Six_Bedrooms,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Seven_Bedrooms,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Eight_or_More_Bedrooms,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Total_dwellings_stated,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Not_Elsewhere_Included(3),2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Total_occupied_private_dwellings,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Mean_Number_of_Bedrooms,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_One_Bedroom,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Two_Bedrooms,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Three_Bedrooms,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Four_Bedrooms,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Five_Bedrooms,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Six_Bedrooms,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Seven_Bedrooms,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Eight_or_More_Bedrooms,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Total_dwellings_stated,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Not_Elsewhere_Included(3),2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Total_occupied_private_dwellings,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Mean_Number_of_Bedrooms,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_One_Bedroom,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Two_Bedrooms,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Three_Bedrooms,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Four_Bedrooms,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Five_Bedrooms,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Six_Bedrooms,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Seven_Bedrooms,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Eight_or_More_Bedrooms,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Total_dwellings_stated,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Not_Elsewhere_Included(3),2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Total_occupied_private_dwellings,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Mean_Number_of_Bedrooms,2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Electricity,2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Mains_Gas,2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Bottled_Gas,2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Wood,2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Coal,2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Solar_Power,2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_No_Fuels_Used_in_this_Dwelling,2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Other_Fuel(s),2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Total_dwellings_stated,2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Not_Elsewhere_Included(5),2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Total_occupied_private_dwellings,2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Electricity,2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Mains_Gas,2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Bottled_Gas,2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Wood,2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Coal,2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Solar_Power,2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_No_Fuels_Used_in_this_Dwelling,2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Other_Fuel(s),2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Total_dwellings_stated,2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Not_Elsewhere_Included(5),2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Total_occupied_private_dwellings,2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Electricity,2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Mains_Gas,2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Bottled_Gas,2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Wood,2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Coal,2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Solar_Power,2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_No_Fuels_Used_in_this_Dwelling,2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Other_Fuel(s),2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Total_dwellings_stated,2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Not_Elsewhere_Included(5),2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Total_occupied_private_dwellings
01 Northland Region,01,Northland Region,40374,5073,636,5532,51615,44406,5376,1077,4668,55527,47820,5274,987,5622,59706,51615,471,52086,55527,405,55929,59706,486,60192,408,879,2529,4551,8976,13191,8112,8847,47490,4122,51615,471,1071,2907,4614,8772,13515,8952,11142,51444,4083,55524,495,762,2295,4974,9288,14451,9717,12435,54423,5286,59706,2811,9048,23106,9762,2070,435,147,267,47640,3972,51615,3.1,3123,9369,24939,10536,2355,477,75,102,50973,4551,55527,3,3222,9768,25695,12561,2817,528,144,126,54861,4845,59706,3.1,29115,1101,14658,24696,1359,579,2394,333,47610,4008,51615,32313,1074,16776,25647,1347,795,2277,807,51762,3762,55524,35553,945,11010,25893,909,1071,2916,645,54597,5109,59706
02 Auckland Region,02,Auckland Region,282336,75888,978,34509,393714,311664,98484,1743,26718,438609,329763,109599,1983,30702,472044,393711,1548,395262,438609,1092,439701,472044,1407,473448,2175,6708,20241,41340,63054,95238,58170,83010,369933,23778,393714,3162,9576,25608,44064,65805,98076,65208,99954,411450,27162,438609,4287,7989,22548,49323,70218,103713,70071,112611,440763,31278,472044,22824,77325,171690,75030,18126,3642,1221,1545,371403,22308,393711,3,27639,83094,182490,90390,24291,4788,1059,1314,415065,23544,438609,3.1,30336,86919,182394,104400,32070,6348,1320,930,444714,27330,472041,3.1,281379,46149,92976,117612,21744,3774,19008,3231,371538,22176,393714,327207,54855,105468,111780,17154,4410,18513,5418,412122,26490,438609,360234,56898,70935,99318,10053,5607,25854,4839,440757,31287,472044
03 Waikato Region,03,Waikato Region,105132,12789,489,10164,128574,116334,14769,1050,7494,139647,125646,16278,1068,8649,151641,128574,843,129417,139647,717,140364,151644,852,152493,555,1440,5175,10728,22389,35505,21846,25308,122949,5625,128574,717,1860,6225,10566,21816,35766,23538,31506,131997,7650,139647,807,1410,4947,12027,23565,38367,25947,35859,142926,8715,151644,5232,20565,62109,27489,5850,1098,366,483,123192,5382,128571,3.1,6018,21780,65418,31047,6819,1257,264,423,133023,6624,139647,3.1,6237,22746,67905,36642,8334,1491,336,297,143988,7653,151641,3.2,75261,24612,40086,58455,10650,957,3006,1356,123528,5049,128574,87771,25836,41913,58515,8418,1296,2373,2481,132957,6690,139647,106152,23643,23502,56127,5145,2019,3546,2031,143493,8151,151644
04 Bay of Plenty Region,04,Bay of Plenty Region,67893,11730,624,7647,87894,76302,13578,1098,5187,96165,80715,14175,1089,7026,103002,87894,528,88425,96168,450,96618,103002,498,103500,537,1254,3798,7476,15096,25107,13968,16050,83292,4605,87894,528,1581,4500,7305,15072,25818,15873,20319,90996,5169,96165,660,1134,3414,8148,15942,27165,17217,22482,96159,6846,103002,4044,15330,42933,16674,3450,576,201,357,83565,4329,87897,3.1,4593,15984,46350,19563,4005,723,147,249,91608,4557,96165,3.1,4560,16356,47541,22530,4782,834,171,162,96945,6060,103005,3.1,50994,7491,30132,38403,2877,1014,2451,993,83616,4278,87894,57756,9381,33195,39168,2700,1470,2037,2160,91833,4332,96165,68121,9561,19386,37230,1608,2487,2823,1725,96600,6405,103002
05 Gisborne Region,05,Gisborne Region,12087,1563,72,1680,15405,12750,1668,132,1116,15663,12945,1692,102,1362,16101,15405,114,15519,15663,105,15768,16101,87,16188,81,207,762,1419,3198,4041,2355,2550,14610,795,15405,93,231,822,1305,2988,3810,2445,3003,14700,963,15663,93,147,600,1386,2952,3990,2508,3177,14850,1251,16101,738,2574,7173,3177,702,144,57,84,14646,759,15405,3.1,774,2517,7212,3168,726,144,48,33,14613,1050,15663,3.1,777,2562,7215,3492,714,165,42,39,15006,1095,16101,3.1,8700,2334,5067,9036,387,120,291,93,14673,729,15405,8712,2259,5637,8973,384,147,258,270,14874,789,15663,9651,1806,3342,8664,297,249,321,183,14958,1143,16101
06 Hawke's Bay Region,06,Hawke's Bay Region,40311,7047,282,5142,52782,43545,8484,501,2697,55227,45813,8436,441,3306,57993,52782,342,53124,55227,303,55527,57993,360,58353,252,669,2241,5034,10035,14745,8256,9129,50364,2418,52782,300,816,2496,4845,9696,14526,9039,10818,52533,2694,55227,288,552,2004,5196,10191,15198,9336,11931,54696,3300,57993,2364,10683,24795,9765,2043,396,162,225,50436,2343,52779,3,2688,10923,25686,10713,2220,447,105,147,52926,2301,55227,3,2676,10914,26514,11844,2481,495,123,96,55143,2850,57996,3.1,33228,3405,22263,32115,2094,489,762,456,50631,2148,52782,35871,3234,20946,32121,1905,651,678,954,53004,2223,55227,41847,2844,10923,28479,885,1065,912,747,54945,3051,57993
07 Taranaki Region,07,Taranaki Region,31842,3885,78,3075,38880,34203,4164,189,1722,40281,36558,4332,246,2082,43215,38880,204,39084,40278,183,40461,43215,213,43431,111,342,1311,3186,7137,11028,6837,7515,37464,1416,38880,186,423,1485,2979,6732,10611,7368,8595,38373,1908,40278,204,366,1197,3408,6993,11187,7854,9789,40998,2217,43215,1206,6927,19563,7818,1467,225,96,189,37485,1392,38880,3.1,1398,6981,19878,8379,1596,255,66,111,38670,1611,40281,3.1,1551,7119,20658,9531,1944,333,81,63,41280,1935,43215,3.1,19209,15771,7917,16620,1071,309,648,231,37710,1167,38880,20688,14061,9267,17769,1065,336,585,447,38739,1542,40278,25707,12138,5349,18597,741,681,750,519,41178,2037,43215
08 Manawatu-Wanganui Region,08,Manawatu-Wanganui Region,66357,8847,201,6465,81867,70824,9867,402,3678,84768,72774,9594,450,4608,87429,81867,558,82428,84768,423,85194,87429,558,87984,276,891,3159,7425,15135,22311,14073,15468,78732,3138,81870,297,987,3513,7050,14241,22248,14745,17958,81042,3729,84768,357,864,2757,7323,14592,22566,15213,19095,82764,4662,87429,3570,14766,37959,17253,3777,765,258,414,78765,3105,81870,3.1,3732,14988,39057,18588,3978,861,180,231,81609,3162,84768,3.1,3870,14793,39027,19866,4449,918,207,204,83331,4095,87429,3.1,46479,28173,22035,36855,3165,555,1221,501,79131,2736,81870,49680,25899,22971,39225,2964,633,1068,978,81741,3030,84768,56832,21873,12315,39795,1920,978,1281,945,83154,4275,87429
09 Wellington Region,09,Wellington Region,111495,34122,189,11493,157302,121524,39786,459,7083,168849,126177,41628,561,8799,177165,157302,612,157917,168849,495,169347,177162,651,177816,738,2667,8337,17430,27729,38724,24249,31548,151422,5880,157302,1092,3282,9177,17415,27924,39768,26520,36477,161655,7197,168849,1404,2667,8181,18690,29352,41358,28032,38604,168288,8874,177165,10521,34464,67926,29850,6711,1119,363,630,151584,5721,157305,3,11856,36144,71673,33186,7767,1365,243,441,162675,6174,168849,3,11976,36393,72786,37281,8772,1509,324,309,169347,7818,177162,3,118020,43713,37689,53448,8196,1176,2961,1254,152073,5232,157302,130425,45741,36036,53664,6471,1332,2781,2088,162624,6222,168849,141921,42171,16953,51033,3555,1965,3702,1737,168879,8286,177165
16 Tasman Region,16,Tasman Region,12588,1260,294,1605,15744,14640,1329,459,840,17268,15915,1305,522,852,18594,15744,210,15954,17268,207,17478,18594,288,18885,276,372,729,1341,2652,4077,2745,2823,15015,729,15744,279,381,810,1377,2619,4167,3168,3777,16578,693,17271,276,342,726,1494,2808,4485,3447,4281,17850,744,18594,1149,2697,6804,3294,789,159,51,69,15009,732,15744,3.1,1233,2895,7338,4047,879,174,33,60,16662,609,17268,3.1,1230,2931,7836,4584,1080,192,45,42,17937,660,18597,3.1,9675,78,4269,10644,768,249,246,159,15078,663,15744,11451,93,4293,11013,618,393,204,336,16707,564,17271,12921,78,2379,11451,369,669,162,273,17940,657,18594
17 Nelson Region,17,Nelson Region,12315,2565,120,1122,16125,13512,2910,219,546,17187,14568,3090,255,777,18699,16122,168,16290,17187,141,17328,18699,210,18906,66,264,708,1833,3291,4239,2619,2541,15564,558,16122,105,351,897,1794,3156,4299,2868,3123,16593,597,17187,117,255,807,2022,3411,4701,3249,3399,17958,738,18696,816,4179,7020,2742,621,102,36,48,15567,558,16125,2.9,963,4242,7476,3183,648,114,27,48,16695,492,17187,3,993,4371,8055,3795,669,99,39,30,18060,639,18699,3,11865,111,5238,8178,903,222,324,180,15606,516,16122,13263,99,5064,7557,516,321,249,378,16719,468,17187,15519,108,2634,6192,126,597,240,258,17994,705,18696
18 Marlborough Region,18,Marlborough Region,12000,1947,150,1224,15321,13557,2082,312,888,16842,14847,2010,222,858,17943,15321,201,15519,16842,186,17028,17943,255,18198,114,201,636,1443,2949,4212,2508,2688,14748,573,15321,156,252,690,1470,2859,4257,2814,3471,15966,873,16842,111,189,564,1578,3009,4515,3222,3852,17037,903,17943,702,2997,7104,3015,657,144,45,72,14733,585,15321,3.1,828,3048,7740,3441,792,141,51,54,16092,753,16842,3.1,753,3114,8136,4053,852,174,33,45,17163,777,17940,3.1,10905,90,4026,9477,1152,180,174,201,14805,516,15321,12111,78,4179,9588,897,231,153,378,16146,696,16842,13347,114,2469,10032,573,498,150,291,17169,771,17943
12 West Coast Region,12,West Coast Region,9714,957,183,1218,12075,10734,1011,297,729,12768,11232,948,306,1041,13524,12075,279,12351,12771,252,13023,13524,279,13803,150,255,585,1290,2706,3213,1830,1485,11508,564,12075,168,285,675,1296,2553,3300,1920,1884,12075,693,12771,198,249,609,1383,2643,3369,1989,2082,12519,1005,13524,810,2238,5784,2127,384,75,42,39,11499,576,12075,3,921,2400,5991,2265,438,90,21,57,12180,591,12771,3,957,2418,6165,2502,441,102,27,27,12639,885,13524,3,6723,75,2826,8868,7578,93,120,135,11577,498,12075,6957,54,3018,9024,7635,78,105,312,12234,537,12771,7332,51,1812,9111,7041,204,144,318,12639,885,13524
13 Canterbury Region,13,Canterbury Region,141030,30609,570,14214,186423,157950,35562,1308,6843,201660,161226,34230,1791,9666,206916,186426,1161,187581,201660,1038,202698,206916,1227,208146,663,2184,8421,20721,37659,49530,29775,31899,180855,5571,186426,894,2622,9228,20820,36606,50373,33414,40590,194541,7116,201660,1152,1773,7932,21579,36138,50085,34383,44553,197595,9324,206916,9342,42162,83640,35676,7536,1404,519,618,180900,5523,186423,3,9927,43185,88062,42747,9105,1794,372,627,195822,5838,201660,3.1,9432,41853,85995,48423,10182,2025,459,387,198756,8160,206916,3.1,151791,1530,55716,92109,17367,1722,1836,2691,181740,4683,186426,168144,2256,56241,86472,10833,2070,1299,6858,196200,5460,201660,178413,3099,29571,76884,3822,3501,1248,3834,198384,8532,206916
