Area_Code_and_Description,Code,Description,2001_Census_total_families_in_occupied_private_dwellings,2006_Census_total_families_in_occupied_private_dwellings,2013_Census_total_families_in_occupied_private_dwellings,2001_Census_family_type_for_families_in_occupied_private_dwellings_Couple_without_children,2001_Census_family_type_for_families_in_occupied_private_dwellings_Couple_with_child(ren),2001_Census_family_type_for_families_in_occupied_private_dwellings_One_parent_with_child(ren),2001_Census_family_type_for_families_in_occupied_private_dwellings_Total_families_in_occupied_private_dwellings,2006_Census_family_type_for_families_in_occupied_private_dwellings_Couple_without_children,2006_Census_family_type_for_families_in_occupied_private_dwellings_Couple_with_child(ren),2006_Census_family_type_for_families_in_occupied_private_dwellings_One_parent_with_child(ren),2006_Census_family_type_for_families_in_occupied_private_dwellings_Total_families_in_occupied_private_dwellings,2013_Census_family_type_for_families_in_occupied_private_dwellings_Couple_without_children,2013_Census_family_type_for_families_in_occupied_private_dwellings_Couple_with_child(ren),2013_Census_family_type_for_families_in_occupied_private_dwellings_One_parent_with_child(ren),2013_Census_family_type_for_families_in_occupied_private_dwellings_Total_families_in_occupied_private_dwellings,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$20000_or_Less,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$20001–$30000,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$30001–$50000,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$50001–$70000,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$70001–$100000,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$100001_or_More,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Total_families_stated,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Not_Stated(4),2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Total_families_in_occupied_private_dwellings,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Median_family_income_($)(5)(10),2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$20000_or_Less,2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$20001–$30000,2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$30001–$50000,2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$50001–$70000,2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$70001–$100000,2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$100001_or_More,2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Total_families_stated,2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Not_Stated(4),2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Total_families_in_occupied_private_dwellings,2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Median_family_income_($)(5)(10),2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$20000_or_Less,2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$20001–$30000,2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$30001–$50000,2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$50001–$70000,2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$70001–$100000,2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$100001_or_More,2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Total_families_stated,2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Not_Stated(4),2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Total_families_in_occupied_private_dwellings,2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Median_family_income_($)(5)(10),2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Wages_Salary_Commissions_Bonuses_etc,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Self-employment_or_Business,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Interest_Dividends_Rent_Other_Invest.,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Payments_from_a_Work_Accident_Insurer,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_NZ_Superannuation_or_Veterans_Pension,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Other_Super._Pensions_Annuities,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Unemployment_Benefit,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Sickness_Benefit,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Domestic_Purposes_Benefit,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Invalids_Benefit,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Student_Allowance,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Other_Govt_Benefits_Payments_or_Pension,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Other_Sources_of_Income,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_No_Source_of_Income_During_That_Time,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Total_families_stated,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Not_Stated,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Total_families_in_occupied_private_dwellings,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Wages_Salary_Commissions_Bonuses_etc,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Self-employment_or_Business,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Interest_Dividends_Rent_Other_Invest.,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Payments_from_a_Work_Accident_Insurer,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_NZ_Superannuation_or_Veterans_Pension,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Other_Super._Pensions_Annuities,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Unemployment_Benefit,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Sickness_Benefit,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Domestic_Purposes_Benefit,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Invalids_Benefit,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Student_Allowance,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Other_Govt_Benefits_Payments_or_Pension,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Other_Sources_of_Income,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_No_Source_of_Income_During_That_Time,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Total_families_stated,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Not_Stated,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Total_families_in_occupied_private_dwellings,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Wages_Salary_Commissions_Bonuses_etc,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Self-employment_or_Business,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Interest_Dividends_Rent_Other_Invest.,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Payments_from_a_Work_Accident_Insurer,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_NZ_Superannuation_or_Veterans_Pension,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Other_Super._Pensions_Annuities,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Unemployment_Benefit,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Sickness_Benefit,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Domestic_Purposes_Benefit,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Invalids_Benefit,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Student_Allowance,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Other_Govt_Benefits_Payments_or_Pension,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Other_Sources_of_Income,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_No_Source_of_Income_During_That_Time,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Total_families_stated,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Not_Stated,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Total_families_in_private_occupied_dwellings
01 Northland Region,01,Northland Region,36117,39456,40725,14682,13842,7596,36117,16695,14703,8058,39456,18162,14049,8511,40725,6762,5787,7068,4923,2724,2358,29625,6492,36117,36100,3978,5907,7713,6105,5046,4410,33159,6297,39456,47000,3399,4161,8118,6042,6720,6753,35196,5529,40722,56100,21891,11424,10935,1194,6267,1620,3993,1338,4389,1287,882,3042,960,216,35532,585,36120,25827,12468,11214,1404,7098,1584,2223,1566,3999,1449,687,2556,1269,267,38712,747,39456,25896,11685,10059,1134,9009,1713,2235,1617,4110,1374,984,3576,1041,294,40026,696,40722
02 Auckland Region,02,Auckland Region,293538,338931,374337,102114,134289,57138,293538,117888,156897,64143,338928,131277,174081,68979,374337,38391,29922,45396,46485,38544,43275,242013,51522,293532,53100,29772,28914,46878,46131,54744,81342,287784,51144,338931,66600,28635,23511,50100,44298,63138,119784,329466,44871,374337,78600,211689,81387,96423,5955,34059,11322,20856,7668,24483,6009,13023,17877,9759,3906,288603,4932,293532,254439,94158,104457,6594,37863,11004,13818,11091,23541,6819,13962,20709,12741,4572,333795,5133,338928,279051,99252,98181,5868,51273,11514,16428,14181,23649,7296,21465,30201,11955,5148,367911,6429,374337
03 Waikato Region,03,Waikato Region,92499,101280,108879,36477,38253,17769,92499,41454,41211,18615,101280,45864,42741,20277,108882,13893,12141,18066,15501,9564,8625,77787,14715,92499,44400,8622,11523,17763,16923,16074,16491,87396,13881,101280,56800,6903,8478,17940,15645,20883,26616,96468,12414,108882,69100,62697,28878,31098,3006,14001,3831,7647,2400,9834,2517,3033,6129,3042,537,91362,1140,92502,72792,30537,31632,3432,15705,3546,4005,3039,8697,3054,2682,6531,3861,615,100038,1245,101280,77991,30234,29010,2721,19935,3654,4356,3516,8829,2991,4074,10302,3525,741,107613,1269,108882
04 Bay of Plenty Region,04,Bay of Plenty Region,64047,70635,73842,26055,24345,13644,64044,29820,26517,14301,70635,32301,26538,15003,73842,10809,9711,12585,9936,5679,4608,53325,10719,64044,39900,6537,9429,12999,11667,10380,9459,60471,10164,70635,52200,5226,6174,13797,11103,13347,15435,65082,8760,73842,62800,41952,17730,21573,2112,11364,3249,6324,1872,7812,1554,1794,4701,1812,357,63132,912,64044,49140,19941,22896,2286,12696,3156,3156,2313,7215,1872,1599,4752,2475,369,69510,1125,70635,51123,19557,20754,1728,15660,3108,3303,2496,6678,1644,2442,6834,2289,546,72762,1080,73842
05 Gisborne Region,05,Gisborne Region,11118,11511,11370,3639,4413,3063,11118,3813,4557,3138,11511,3981,4227,3162,11370,2184,1686,2259,1473,807,621,9030,2088,11115,35700,1284,1560,2253,1746,1434,1125,9399,2112,11511,46200,1089,1041,2040,1737,1914,1860,9675,1692,11367,57300,7629,2664,3039,354,1614,402,1431,417,1770,354,351,930,285,72,10932,186,11115,8253,2718,2856,402,1617,324,867,543,1623,486,285,783,351,54,11223,288,11511,8088,2592,2481,333,1899,318,726,507,1473,459,366,1137,330,90,11127,240,11370
06 Hawke's Bay Region,06,Hawke's Bay Region,37605,39771,40968,14640,14595,8367,37605,16071,15360,8343,39771,17286,15087,8592,40968,6144,5712,7797,6039,3336,2343,31368,6237,37605,40000,3480,5118,7506,6918,5886,4974,33876,5895,39771,52400,2943,3255,7587,6363,7779,7989,35913,5052,40965,62800,26403,9639,12450,1281,6090,1797,3615,1131,4815,993,1074,2754,1134,177,37080,528,37605,29322,10428,12357,1389,6441,1524,1608,1524,4266,1170,816,2580,1401,216,39129,642,39771,29676,10107,11106,1140,8331,1575,1737,1350,3642,1269,1197,4050,1260,255,40401,567,40968
07 Taranaki Region,07,Taranaki Region,27294,28344,30084,11130,11184,4980,27294,11979,11214,5148,28344,13176,11730,5175,30084,4050,3906,5316,4323,2526,2547,22668,4626,27294,42700,2244,3483,5199,4794,4107,4146,23970,4374,28344,54400,1677,2073,4836,4497,5769,7632,26484,3597,30081,70800,18210,8331,9087,780,4611,1110,2550,660,2802,768,639,1812,804,138,26949,342,27294,20151,8211,8982,849,4773,957,1269,780,2406,912,426,1719,948,144,27903,441,28341,22005,8151,8460,804,5631,948,789,702,2073,831,549,2712,960,219,29739,345,30081
08 Manawatu-Wanganui Region,08,Manawatu-Wanganui Region,56637,58656,58983,22527,22590,11523,56637,24399,22725,11532,58656,25764,21564,11658,58986,9264,8598,11865,8925,4968,3858,47481,9159,56637,40200,5328,8118,11529,10122,8412,7044,50553,8103,58653,50600,4170,5298,11112,9294,11127,11109,52110,6876,58983,61300,39372,15003,18921,2328,9381,2796,5256,1527,6372,1815,2097,4149,1890,312,56001,639,56637,42870,15261,17643,2010,10068,2547,2922,1941,5637,2208,1653,4140,2349,246,57969,684,58653,42630,14328,15327,1668,11952,2361,2817,1800,4887,2172,2109,5940,2067,384,58311,675,58986
09 Wellington Region,09,Wellington Region,109344,117705,124944,42456,47199,19686,109347,47064,49905,20733,117705,51204,52500,21237,124941,11733,11328,18486,18159,15276,18567,93552,15795,109347,55800,7527,10467,17013,17238,20064,30813,103125,14577,117705,69200,6114,7008,16026,15156,22623,45219,112149,12795,124944,85600,82938,29637,43686,3765,14802,7062,8562,2304,9216,2139,4152,6126,4236,588,108192,1149,109344,92514,32322,43872,3120,16170,6711,5454,2973,8199,2604,3528,7245,5226,612,116535,1170,117705,97932,33399,41235,2343,20163,6486,5169,3009,7122,2724,4989,10608,4872,816,123564,1380,124944
16 Tasman Region,16,Tasman Region,11280,12579,13695,4938,4752,1590,11283,5676,5253,1650,12579,6651,5313,1731,13695,1644,1905,2694,1764,903,708,9618,1665,11283,39300,990,1725,2709,2391,1932,1416,11166,1413,12579,51400,735,1080,2727,2388,2712,2652,12288,1407,13695,63000,8028,4026,4218,417,1860,612,795,267,909,384,216,819,297,51,11139,144,11280,9222,4617,4788,495,2055,612,366,369,819,354,174,903,372,54,12489,90,12579,9747,4779,4800,363,2997,735,294,357,777,270,273,1302,381,84,13575,120,13695
17 Nelson Region,17,Nelson Region,10986,11763,12858,4758,4056,2172,10989,5220,4371,2169,11763,5964,4644,2253,12858,1710,1692,2418,1872,1011,690,9390,1593,10986,41000,903,1581,2265,2169,1860,1527,10299,1461,11760,53700,726,1023,2466,2142,2577,2679,11613,1248,12861,65000,7839,2952,4146,348,1881,696,843,276,1224,405,312,753,402,63,10872,117,10986,8796,3333,4227,393,1923,651,318,363,1011,441,252,813,465,60,11652,108,11763,9510,3570,4203,324,2460,735,399,360,987,282,366,1272,414,69,12756,102,12858
18 Marlborough Region,18,Marlborough Region,10914,11850,12558,5253,4197,1464,10914,5955,4389,1503,11850,6675,4251,1635,12561,1512,1857,2592,1905,855,636,9357,1557,10914,40400,819,1554,2427,2292,1830,1566,10485,1362,11847,53900,645,942,2373,2094,2679,2580,11310,1248,12561,66000,7581,3480,4020,444,2085,705,729,282,825,330,162,750,285,48,10839,72,10911,8691,3852,4191,513,2265,672,138,285,663,348,93,705,354,45,11733,117,11847,9018,3723,3972,366,3057,717,207,273,675,282,135,1050,324,60,12453,105,12561
12 West Coast Region,12,West Coast Region,7752,8277,8520,3378,3153,1221,7752,3801,3201,1275,8277,4194,3168,1158,8523,1425,1281,1647,1182,558,393,6483,1269,7752,36700,777,1242,1578,1533,1170,813,7107,1170,8277,49300,450,648,1428,1335,1866,1866,7590,933,8520,69100,5283,2253,2202,354,1224,285,792,219,708,357,114,507,195,30,7671,78,7752,6099,2361,2175,345,1353,258,387,222,645,402,99,432,246,33,8187,87,8277,6441,2223,1965,285,1590,267,258,204,477,240,114,642,225,45,8445,78,8520
13 Canterbury Region,13,Canterbury Region,127749,142059,146370,54165,52089,21495,127749,61791,57954,22314,142059,65520,59217,21633,146367,17514,18297,27396,22308,13386,10626,109530,18219,127749,44100,10329,17055,25602,25866,23856,22254,124959,17100,142059,57300,6369,9324,22596,21705,31197,41070,132261,14109,146367,75900,92619,35973,47331,4296,21123,6516,9582,3165,10536,3651,4860,8430,4479,735,126732,1017,127749,107616,40227,49929,4683,22989,6282,3858,3969,9186,4347,4041,9009,5823,849,140919,1140,142059,112527,40146,46461,3594,27405,6036,3624,3468,7488,3792,5166,12579,4893,819,145191,1176,146370
14 Otago Region,14,Otago Region,46224,49680,52494,20697,18354,7176,46227,23478,19299,6903,49680,25575,19905,7017,52497,6501,7014,10335,8046,4263,3396,39555,6672,46227,42400,3561,6207,9465,9234,8130,6978,43572,6108,49680,55500,2427,3675,8955,8454,11238,12531,47280,5217,52494,70300,33498,13248,17496,1713,7953,2370,3864,1152,3495,1344,1902,2838,1620,213,45903,321,46227,37782,14907,18108,1857,8424,2190,1650,1314,2670,1443,1395,3075,2163,204,49311,369,49680,39972,15387,16605,1521,10302,2184,1677,1167,2385,1131,1815,4716,2019,294,52110,387,52494
15 Southland Region,15,Southland Region,24342,24849,25605,9945,10386,4008,24342,10800,10260,3792,24846,11634,10212,3759,25605,3411,3426,5340,4215,2352,2001,20742,3600,24342,43600,1908,3093,4803,4755,3927,3213,21699,3150,24849,54400,1269,1833,4182,4200,5586,6033,23109,2496,25602,70400,17571,7686,8793,1017,3789,732,2190,492,2094,750,600,1533,690,105,24171,171,24342,18813,7590,8328,1062,3993,657,1356,582,1737,756,471,1449,897,69,24666,183,24849,19548,7212,7380,810,4701,594,1137,474,1569,531,579,2304,825,84,25434,171,25605
99 Area Outside Region,99,Area Outside Region,165,165,165,54,87,27,165,66,78,21,168,72,69,27,165,24,15,24,21,12,21,117,48,162,45000,9,18,27,30,18,24,129,39,168,57000,9,9,18,21,36,45,135,27,165,80000,126,84,36,3,15,0,9,3,12,0,3,3,0,3,162,3,162,129,78,30,6,15,3,3,3,6,3,0,6,0,0,162,6,165,129,78,36,3,21,0,3,0,6,3,3,6,6,0,159,6,165
