Area_Code_and_Description,Code,Description,2001_Census_occupied_private_dwelling_type_Separate_House,2001_Census_occupied_private_dwelling_type_Two_or_More_Flats/Units/Townhouses/_Apartments/Houses_Joined_Together,2001_Census_occupied_private_dwelling_type_Other_Occupied_Private_Dwellings(1),2001_Census_occupied_private_dwelling_type_Occupied_Private_Dwelling_Not_Further_Defined,2001_Census_occupied_private_dwelling_type_Total_occupied_private_dwellings,2006_Census_occupied_private_dwelling_type_Separate_House,2006_Census_occupied_private_dwelling_type_Two_or_More_Flats/Units/Townhouses/_Apartments/Houses_Joined_Together,2006_Census_occupied_private_dwelling_type_Other_Occupied_Private_Dwellings(1),2006_Census_occupied_private_dwelling_type_Occupied_Private_Dwelling_Not_Further_Defined,2006_Census_occupied_private_dwelling_type_Total_occupied_private_dwellings,2013_Census_occupied_private_dwelling_type_Separate_House,2013_Census_occupied_private_dwelling_type_Two_or_More_Flats/Units/Townhouses/_Apartments/Houses_Joined_Together,2013_Census_occupied_private_dwelling_type_Other_Occupied_Private_Dwellings(1),2013_Census_occupied_private_dwelling_type_Occupied_Private_Dwelling_Not_Further_Defined,2013_Census_occupied_private_dwelling_type_Total_occupied_private_dwellings,2001_Census_dwelling_record_type_for_occupied_dwellings_Occupied_Private_Dwelling,2001_Census_dwelling_record_type_for_occupied_dwellings_Occupied_Non-private_Dwelling,2001_Census_dwelling_record_type_for_occupied_dwellings_Total_occupied_dwellings,2006_Census_dwelling_record_type_for_occupied_dwellings_Occupied_Private_Dwelling,2006_Census_dwelling_record_type_for_occupied_dwellings_Occupied_Non-private_Dwelling,2006_Census_dwelling_record_type_for_occupied_dwellings_Total_occupied_dwellings,2013_Census_dwelling_record_type_for_occupied_dwellings_Occupied_Private_Dwelling,2013_Census_dwelling_record_type_for_occupied_dwellings_Occupied_Non-private_Dwelling,2013_Census_dwelling_record_type_for_occupied_dwellings_Total_occupied_dwellings,2001_Census_number_of_rooms_for_occupied_private_dwellings_One_Room,2001_Census_number_of_rooms_for_occupied_private_dwellings_Two_Rooms,2001_Census_number_of_rooms_for_occupied_private_dwellings_Three_Rooms,2001_Census_number_of_rooms_for_occupied_private_dwellings_Four_Rooms,2001_Census_number_of_rooms_for_occupied_private_dwellings_Five_Rooms,2001_Census_number_of_rooms_for_occupied_private_dwellings_Six_Rooms,2001_Census_number_of_rooms_for_occupied_private_dwellings_Seven_Rooms,2001_Census_number_of_rooms_for_occupied_private_dwellings_Eight_or_More_Rooms,2001_Census_number_of_rooms_for_occupied_private_dwellings_Total_dwellings_stated,2001_Census_number_of_rooms_for_occupied_private_dwellings_Not_Elsewhere_Included(2),2001_Census_number_of_rooms_for_occupied_private_dwellings_Total_occupied_private_dwellings,2006_Census_number_of_rooms_for_occupied_private_dwellings_One_Room,2006_Census_number_of_rooms_for_occupied_private_dwellings_Two_Rooms,2006_Census_number_of_rooms_for_occupied_private_dwellings_Three_Rooms,2006_Census_number_of_rooms_for_occupied_private_dwellings_Four_Rooms,2006_Census_number_of_rooms_for_occupied_private_dwellings_Five_Rooms,2006_Census_number_of_rooms_for_occupied_private_dwellings_Six_Rooms,2006_Census_number_of_rooms_for_occupied_private_dwellings_Seven_Rooms,2006_Census_number_of_rooms_for_occupied_private_dwellings_Eight_or_More_Rooms,2006_Census_number_of_rooms_for_occupied_private_dwellings_Total_dwellings_stated,2006_Census_number_of_rooms_for_occupied_private_dwellings_Not_Elsewhere_Included(2),2006_Census_number_of_rooms_for_occupied_private_dwellings_Total_occupied_private_dwellings,2013_Census_number_of_rooms_for_occupied_private_dwellings_One_Room,2013_Census_number_of_rooms_for_occupied_private_dwellings_Two_Rooms,2013_Census_number_of_rooms_for_occupied_private_dwellings_Three_Rooms,2013_Census_number_of_rooms_for_occupied_private_dwellings_Four_Rooms,2013_Census_number_of_rooms_for_occupied_private_dwellings_Five_Rooms,2013_Census_number_of_rooms_for_occupied_private_dwellings_Six_Rooms,2013_Census_number_of_rooms_for_occupied_private_dwellings_Seven_Rooms,2013_Census_number_of_rooms_for_occupied_private_dwellings_Eight_or_More_Rooms,2013_Census_number_of_rooms_for_occupied_private_dwellings_Total_dwellings_stated,2013_Census_number_of_rooms_for_occupied_private_dwellings_Not_Elsewhere_Included(2),2013_Census_number_of_rooms_for_occupied_private_dwellings_Total_occupied_private_dwellings,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_One_Bedroom,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Two_Bedrooms,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Three_Bedrooms,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Four_Bedrooms,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Five_Bedrooms,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Six_Bedrooms,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Seven_Bedrooms,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Eight_or_More_Bedrooms,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Total_dwellings_stated,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Not_Elsewhere_Included(3),2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Total_occupied_private_dwellings,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Mean_Number_of_Bedrooms,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_One_Bedroom,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Two_Bedrooms,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Three_Bedrooms,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Four_Bedrooms,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Five_Bedrooms,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Six_Bedrooms,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Seven_Bedrooms,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Eight_or_More_Bedrooms,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Total_dwellings_stated,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Not_Elsewhere_Included(3),2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Total_occupied_private_dwellings,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Mean_Number_of_Bedrooms,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_One_Bedroom,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Two_Bedrooms,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Three_Bedrooms,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Four_Bedrooms,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Five_Bedrooms,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Six_Bedrooms,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Seven_Bedrooms,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Eight_or_More_Bedrooms,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Total_dwellings_stated,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Not_Elsewhere_Included(3),2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Total_occupied_private_dwellings,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Mean_Number_of_Bedrooms,2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Electricity,2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Mains_Gas,2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Bottled_Gas,2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Wood,2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Coal,2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Solar_Power,2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_No_Fuels_Used_in_this_Dwelling,2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Other_Fuel(s),2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Total_dwellings_stated,2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Not_Elsewhere_Included(5),2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Total_occupied_private_dwellings,2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Electricity,2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Mains_Gas,2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Bottled_Gas,2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Wood,2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Coal,2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Solar_Power,2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_No_Fuels_Used_in_this_Dwelling,2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Other_Fuel(s),2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Total_dwellings_stated,2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Not_Elsewhere_Included(5),2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Total_occupied_private_dwellings,2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Electricity,2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Mains_Gas,2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Bottled_Gas,2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Wood,2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Coal,2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Solar_Power,2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_No_Fuels_Used_in_this_Dwelling,2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Other_Fuel(s),2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Total_dwellings_stated,2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Not_Elsewhere_Included(5),2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Total_occupied_private_dwellings
001 Far North District,001,Far North District,15186,1617,306,2451,19560,16446,1455,444,2130,20472,17274,1413,426,2664,21774,19560,243,19803,20472,240,20712,21774,273,22047,228,414,1062,1800,3507,4539,2733,2979,17268,2295,19560,213,480,1191,1770,3444,4647,3024,3729,18501,1971,20472,249,342,933,1959,3489,4971,3264,4056,19272,2502,21777,1212,3465,8166,3417,747,165,57,111,17340,2220,19560,3,1236,3558,8871,3582,843,192,30,51,18363,2109,20472,3,1365,3654,9030,4143,963,189,57,51,19452,2325,21774,3,10323,162,4983,9021,498,351,1059,99,17349,2211,19560,11361,114,5703,9360,453,435,1011,306,18666,1809,20472,11898,102,3993,9645,357,525,1281,249,19335,2442,21777
002 Whangarei District,002,Whangarei District,19791,3057,264,2397,25506,22017,3549,483,1986,28035,23808,3465,432,2334,30039,25503,141,25647,28035,117,28149,30039,165,30204,132,360,1179,2226,4311,6942,4230,4647,24030,1476,25506,204,489,1362,2334,4215,7131,4695,5910,26337,1695,28035,186,327,1083,2388,4602,7494,5130,6615,27828,2211,30039,1284,4626,11919,4911,978,183,66,120,24087,1419,25503,3.1,1521,4794,12909,5487,1122,195,27,33,26091,1944,28035,3,1446,4992,13179,6624,1413,249,57,54,28011,2028,30039,3.1,15189,900,7992,11751,714,183,1095,189,24051,1452,25506,17004,933,9069,12288,714,291,1005,414,26463,1572,28035,19221,819,5613,12168,438,435,1239,306,27900,2139,30039
003 Kaipara District,003,Kaipara District,5397,399,66,687,6546,5943,375,129,546,6993,6741,393,135,624,7890,6543,87,6633,6993,51,7044,7893,48,7938,45,105,288,528,1158,1707,1149,1215,6195,351,6546,54,96,351,504,1110,1734,1233,1503,6588,405,6993,60,90,276,627,1197,1986,1320,1767,7326,567,7893,312,957,3018,1431,345,87,24,39,6210,333,6546,3.2,357,1011,3156,1467,390,87,15,15,6507,489,6993,3.1,411,1122,3486,1797,441,90,30,21,7401,492,7893,3.2,3606,39,1680,3927,153,48,243,42,6207,339,6546,3933,30,1998,4002,180,66,255,84,6615,381,6993,4431,24,1407,4080,114,114,396,87,7365,531,7893
076 Auckland,076,Auckland,282336,75888,981,34509,393711,311664,98484,1743,26718,438609,329763,109599,1980,30702,472044,393714,1551,395262,438609,1092,439701,472044,1407,473451,2175,6708,20241,41340,63057,95235,58170,83013,369936,23778,393711,3162,9576,25608,44061,65805,98076,65208,99951,411450,27162,438609,4287,7992,22545,49323,70218,103713,70071,112611,440763,31278,472044,22827,77325,171690,75030,18126,3642,1221,1545,371403,22308,393711,3,27636,83094,182490,90390,24291,4788,1059,1314,415062,23544,438609,3.1,30333,86919,182394,104400,32070,6348,1317,933,444714,27330,472044,3.1,281379,46149,92973,117612,21744,3774,19008,3231,371535,22176,393711,327210,54855,105468,111780,17154,4407,18513,5418,412122,26490,438609,360234,56898,70932,99318,10050,5607,25854,4839,440757,31284,472044
011 Thames-Coromandel District,011,Thames-Coromandel District,8208,1059,141,1446,10860,9465,1062,288,567,11379,9930,1176,243,651,12000,10860,192,11052,11382,168,11547,12000,201,12201,111,231,567,1080,1998,2724,1671,1848,10221,636,10860,132,276,663,1044,1962,2709,1836,2289,10908,471,11379,126,192,537,1164,1920,2889,2013,2580,11418,582,12000,609,2442,4722,1854,417,87,30,57,10221,639,10860,3,771,2478,4944,2100,522,102,30,39,10989,390,11379,3,729,2430,5124,2436,573,132,33,45,11502,501,12000,3,6075,63,3816,5373,648,150,351,93,10254,606,10860,7053,78,4056,5391,531,213,282,171,10974,408,11379,8001,78,2724,5265,294,273,375,117,11469,531,12000
012 Hauraki District,012,Hauraki District,5634,408,45,498,6585,6222,423,114,273,7032,6564,390,108,363,7422,6585,33,6618,7032,18,7050,7422,24,7443,27,60,252,507,1269,1929,1155,1131,6330,255,6585,45,84,303,468,1218,1935,1290,1356,6702,330,7032,45,60,234,564,1266,2088,1278,1470,7005,417,7422,225,1026,3393,1356,270,42,12,21,6348,237,6585,3.1,285,1131,3564,1407,300,51,12,18,6765,264,7032,3.1,300,1152,3735,1485,324,48,12,12,7068,354,7422,3.1,3624,48,2397,4140,744,45,141,54,6360,225,6585,4182,36,2535,4134,552,93,120,114,6768,264,7032,4911,39,1452,3825,339,120,183,90,7050,372,7422
013 Waikato District,013,Waikato District,15060,1005,84,1368,17517,17211,900,213,1461,19788,19410,1002,231,1491,22140,17517,60,17577,19785,48,19833,22137,63,22203,78,177,627,1236,2934,4374,3042,4122,16587,930,17517,93,243,786,1281,2796,4461,3276,5367,18297,1488,19785,132,180,618,1446,3174,4869,3759,6501,20676,1461,22140,606,2334,8130,4221,999,222,72,63,16647,870,17517,3.2,708,2505,8652,4947,1227,258,51,72,18423,1365,19785,3.3,819,2655,8994,6225,1644,327,81,54,20805,1332,22140,3.3,9789,396,6444,10356,3255,144,429,216,16686,831,17517,11724,444,7134,10872,2682,234,378,369,18429,1356,19785,14751,468,4521,11013,1824,366,567,324,20730,1410,22140
015 Matamata-Piako District,015,Matamata-Piako District,9081,855,27,810,10773,9966,939,54,435,11394,10731,906,78,567,12282,10773,39,10809,11394,36,11427,12282,36,12315,24,69,315,792,1881,3171,2007,2127,10389,384,10773,24,96,390,750,1842,3072,2172,2586,10929,465,11394,39,96,291,804,1989,3375,2358,2778,11730,552,12282,285,1542,5415,2463,537,75,30,36,10383,390,10773,3.2,309,1629,5724,2649,558,84,15,27,10989,405,11394,3.2,357,1617,6042,3039,624,90,21,21,11811,471,12282,3.2,6732,495,3807,6075,936,81,165,147,10413,360,10773,7488,588,3885,5997,723,90,123,231,11001,393,11394,8928,576,2172,5490,381,192,207,165,11784,498,12282
016 Hamilton City,016,Hamilton City,32646,6216,39,2853,41751,35673,7956,87,2478,46194,38574,9105,84,2877,50637,41748,186,41934,46194,165,46356,50640,183,50823,150,540,1965,4011,6852,11994,6876,7854,40239,1512,41751,258,675,2388,4005,6828,12216,7413,9840,43626,2571,46194,270,528,2097,4716,7683,12954,8193,11274,47718,2919,50640,2229,7404,20163,8367,1608,315,108,147,40338,1413,41751,3.1,2514,7878,21033,9933,2007,384,72,132,43956,2238,46194,3.1,2550,8709,21756,11847,2598,444,90,78,48075,2565,50640,3.1,24597,19113,10458,8214,2358,243,1368,393,40419,1332,41751,29985,19722,11022,7710,1770,261,1011,669,43869,2325,46194,37413,17601,5664,6690,1017,390,1617,585,47817,2826,50640
017 Waipa District,017,Waipa District,11973,1140,42,876,14028,13734,1377,99,558,15765,15249,1401,96,840,17583,14031,75,14106,15765,57,15825,17583,84,17667,39,123,450,1047,2319,3855,2598,3201,13635,396,14031,54,177,540,1050,2286,4080,2856,4155,15192,573,15768,66,117,384,1149,2460,4389,3285,4866,16722,864,17583,414,2148,6831,3291,678,135,45,57,13602,426,14031,3.2,537,2346,7488,3918,798,144,36,42,15309,456,15765,3.2,525,2319,7824,4881,1017,183,45,33,16824,762,17583,3.3,9195,1893,4464,7059,1086,108,210,144,13665,366,14031,10884,2187,4671,7176,852,144,180,261,15294,471,15768,13080,2280,2520,6885,501,219,240,177,16776,807,17583
018 Otorohanga District,018,Otorohanga District,2553,156,15,252,2973,2796,132,24,126,3081,2985,108,27,210,3333,2973,21,2997,3081,18,3096,3333,21,3357,18,30,99,183,525,735,564,678,2823,150,2976,21,48,117,222,444,750,591,777,2970,108,3081,12,33,90,228,495,798,621,855,3126,207,3333,102,372,1308,777,216,36,9,3,2823,153,2976,3.3,114,393,1419,807,207,24,9,18,2994,84,3081,3.3,114,405,1470,900,228,27,12,3,3156,174,3333,3.3,1788,141,924,1926,231,18,57,24,2841,135,2976,1896,150,924,1953,189,30,45,63,2997,84,3081,2193,105,477,1893,105,45,51,48,3147,186,3333
019 South Waikato District,019,South Waikato District,6891,555,12,630,8091,6984,594,30,558,8163,7206,609,36,573,8427,8091,30,8121,8163,21,8184,8427,30,8457,12,42,255,510,1773,2430,1320,1308,7653,438,8091,9,57,312,504,1668,2250,1311,1443,7551,609,8163,21,30,156,546,1701,2436,1380,1533,7803,624,8427,165,801,4578,1701,336,45,15,33,7680,411,8091,3.2,165,876,4533,1641,345,42,15,21,7638,525,8163,3.2,174,915,4644,1701,375,48,9,18,7890,537,8427,3.2,3975,1200,2532,5265,465,48,99,78,7707,384,8091,4317,1131,2448,5016,369,51,75,159,7647,513,8163,5049,960,1185,4782,231,75,114,117,7875,552,8427
020 Waitomo District,020,Waitomo District,2832,219,15,312,3381,3009,180,36,210,3438,2949,183,21,228,3381,3378,36,3417,3438,33,3471,3378,45,3426,33,33,132,300,633,864,612,618,3225,156,3381,21,54,135,240,603,825,624,711,3213,222,3438,6,27,87,270,588,834,585,759,3156,225,3381,111,489,1602,813,174,36,15,12,3249,132,3378,3.2,99,489,1665,795,162,33,6,12,3264,174,3438,3.2,81,471,1557,855,171,36,9,9,3195,189,3378,3.2,2016,159,1152,2256,405,15,51,24,3261,117,3381,2106,150,1056,2211,282,27,45,63,3261,177,3438,2190,123,474,2016,138,42,51,69,3189,189,3381
021 Taupo District,021,Taupo District,9333,1146,63,1068,11607,10248,1185,93,789,12315,10962,1383,132,765,13239,11610,180,11790,12315,153,12465,13236,159,13395,63,129,492,1011,2055,3186,1803,2148,10887,720,11610,57,138,558,960,2013,3192,1968,2655,11541,771,12312,87,138,426,1074,2160,3462,2241,2880,12462,774,13236,462,1920,5556,2325,510,90,27,45,10938,669,11607,3.1,483,1974,5907,2511,591,108,18,36,11628,687,12315,3.1,546,1974,6288,2892,666,141,24,24,12549,687,13236,3.1,6900,1086,3813,6972,477,93,129,165,10959,648,11610,7503,1332,3858,7170,432,135,105,345,11643,669,12312,8943,1392,2148,7374,288,264,135,303,12540,699,13236
022 Western Bay of Plenty District,022,Western Bay of Plenty District,11442,1092,204,1230,13965,13200,1023,342,1038,15606,14436,1062,366,1023,16887,13965,42,14007,15606,54,15657,16887,54,16941,123,231,627,1038,2004,3438,2514,3327,13302,663,13965,138,285,687,1056,1947,3504,2784,4281,14685,921,15603,165,267,645,1194,2082,3777,3057,4782,15966,921,16890,795,2067,6279,3198,783,126,39,57,13344,621,13965,3.1,918,2160,6759,3753,954,153,30,45,14772,834,15603,3.2,1032,2223,7116,4296,1131,195,42,39,16071,819,16887,3.2,7449,519,4935,7596,420,246,348,108,13383,582,13965,8730,549,5478,8052,387,423,312,267,14757,849,15603,10488,510,3636,8436,267,696,465,228,16035,852,16890
