Area_Code_and_Description,Code,Description,2001_Census_total_families_in_occupied_private_dwellings,2006_Census_total_families_in_occupied_private_dwellings,2013_Census_total_families_in_occupied_private_dwellings,2001_Census_family_type_for_families_in_occupied_private_dwellings_Couple_without_children,2001_Census_family_type_for_families_in_occupied_private_dwellings_Couple_with_child(ren),2001_Census_family_type_for_families_in_occupied_private_dwellings_One_parent_with_child(ren),2001_Census_family_type_for_families_in_occupied_private_dwellings_Total_families_in_occupied_private_dwellings,2006_Census_family_type_for_families_in_occupied_private_dwellings_Couple_without_children,2006_Census_family_type_for_families_in_occupied_private_dwellings_Couple_with_child(ren),2006_Census_family_type_for_families_in_occupied_private_dwellings_One_parent_with_child(ren),2006_Census_family_type_for_families_in_occupied_private_dwellings_Total_families_in_occupied_private_dwellings,2013_Census_family_type_for_families_in_occupied_private_dwellings_Couple_without_children,2013_Census_family_type_for_families_in_occupied_private_dwellings_Couple_with_child(ren),2013_Census_family_type_for_families_in_occupied_private_dwellings_One_parent_with_child(ren),2013_Census_family_type_for_families_in_occupied_private_dwellings_Total_families_in_occupied_private_dwellings,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$20000_or_Less,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$20001–$30000,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$30001–$50000,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$50001–$70000,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$70001–$100000,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$100001_or_More,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Total_families_stated,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Not_Stated(4),2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Total_families_in_occupied_private_dwellings,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Median_family_income_($)(5)(10),2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$20000_or_Less,2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$20001–$30000,2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$30001–$50000,2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$50001–$70000,2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$70001–$100000,2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$100001_or_More,2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Total_families_stated,2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Not_Stated(4),2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Total_families_in_occupied_private_dwellings,2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Median_family_income_($)(5)(10),2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$20000_or_Less,2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$20001–$30000,2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$30001–$50000,2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$50001–$70000,2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$70001–$100000,2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$100001_or_More,2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Total_families_stated,2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Not_Stated(4),2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Total_families_in_occupied_private_dwellings,2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Median_family_income_($)(5)(10),2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Wages_Salary_Commissions_Bonuses_etc,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Self-employment_or_Business,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Interest_Dividends_Rent_Other_Invest.,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Payments_from_a_Work_Accident_Insurer,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_NZ_Superannuation_or_Veterans_Pension,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Other_Super._Pensions_Annuities,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Unemployment_Benefit,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Sickness_Benefit,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Domestic_Purposes_Benefit,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Invalids_Benefit,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Student_Allowance,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Other_Govt_Benefits_Payments_or_Pension,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Other_Sources_of_Income,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_No_Source_of_Income_During_That_Time,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Total_families_stated,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Not_Stated,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Total_families_in_occupied_private_dwellings,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Wages_Salary_Commissions_Bonuses_etc,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Self-employment_or_Business,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Interest_Dividends_Rent_Other_Invest.,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Payments_from_a_Work_Accident_Insurer,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_NZ_Superannuation_or_Veterans_Pension,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Other_Super._Pensions_Annuities,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Unemployment_Benefit,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Sickness_Benefit,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Domestic_Purposes_Benefit,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Invalids_Benefit,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Student_Allowance,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Other_Govt_Benefits_Payments_or_Pension,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Other_Sources_of_Income,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_No_Source_of_Income_During_That_Time,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Total_families_stated,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Not_Stated,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Total_families_in_occupied_private_dwellings,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Wages_Salary_Commissions_Bonuses_etc,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Self-employment_or_Business,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Interest_Dividends_Rent_Other_Invest.,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Payments_from_a_Work_Accident_Insurer,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_NZ_Superannuation_or_Veterans_Pension,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Other_Super._Pensions_Annuities,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Unemployment_Benefit,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Sickness_Benefit,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Domestic_Purposes_Benefit,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Invalids_Benefit,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Student_Allowance,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Other_Govt_Benefits_Payments_or_Pension,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Other_Sources_of_Income,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_No_Source_of_Income_During_That_Time,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Total_families_stated,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Not_Stated,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Total_families_in_private_occupied_dwellings
001 Far North District,001,Far North District,13458,14361,14556,5304,5076,3078,13458,5907,5250,3204,14361,6399,4806,3351,14556,2931,2277,2562,1527,774,711,10785,2673,13458,31300,1722,2220,2847,2049,1554,1254,11643,2718,14361,42000,1515,1737,2961,2106,2091,1869,12279,2280,14559,49400,7491,4188,3489,438,2274,603,1797,621,1830,615,324,1263,342,90,13155,303,13458,8922,4566,3606,456,2487,540,1062,717,1611,657,210,936,414,117,13977,384,14361,8625,4245,3237,369,3273,660,954,669,1671,597,345,1227,345,117,14223,336,14556
002 Whangarei District,002,Whangarei District,18045,20214,20928,7425,6873,3744,18045,8598,7554,4062,20214,9189,7422,4317,20928,3027,2733,3555,2784,1629,1287,15021,3024,18042,39600,1773,2889,3810,3258,2943,2655,17331,2883,20214,51200,1479,1890,3987,3105,3765,4128,18357,2574,20928,61500,11646,5304,5982,582,3195,864,1806,537,2109,504,477,1404,522,105,17820,222,18045,13899,5883,6168,735,3675,879,960,648,1980,600,426,1308,729,117,19908,303,20211,14118,5529,5469,591,4458,864,1080,720,2028,603,540,1905,549,132,20628,300,20928
003 Kaipara District,003,Kaipara District,4617,4875,5238,1953,1893,771,4617,2184,1896,792,4875,2574,1815,846,5238,804,774,951,612,321,360,3819,798,4617,36700,480,798,1050,798,549,504,4179,693,4875,45100,405,534,1176,831,861,753,4560,675,5238,53600,2754,1932,1464,174,795,150,390,183,447,168,81,378,99,18,4557,60,4617,3003,2013,1437,213,936,165,201,201,405,186,51,312,126,33,4815,60,4875,3156,1914,1350,174,1281,186,204,225,411,168,99,444,147,45,5175,60,5238
076 Auckland,076,Auckland,293538,338928,374337,102114,134289,57138,293538,117888,156897,64146,338928,131280,174081,68976,374337,38394,29925,45393,46485,38544,43275,242013,51522,293535,53100,29775,28914,46881,46131,54747,81342,287784,51141,338928,66600,28635,23511,50100,44298,63138,119781,329466,44871,374337,78600,211689,81387,96423,5955,34062,11322,20859,7665,24483,6006,13023,17877,9762,3906,288603,4932,293535,254439,94158,104457,6594,37863,11004,13818,11091,23541,6822,13962,20709,12741,4572,333798,5133,338928,279051,99249,98181,5865,51276,11514,16428,14178,23649,7296,21462,30204,11955,5151,367908,6429,374337
011 Thames-Coromandel District,011,Thames-Coromandel District,6966,7491,7563,3687,2184,1098,6966,4056,2307,1125,7491,4371,2082,1104,7560,1299,1398,1428,921,405,384,5838,1131,6966,33100,714,1275,1587,1173,906,807,6462,1026,7488,45100,510,873,1860,1179,1242,1101,6765,798,7563,52300,3849,2352,2448,243,1794,492,522,192,618,219,75,435,153,36,6876,90,6966,4557,2712,2742,255,1884,408,207,270,549,249,54,375,201,30,7407,84,7491,4398,2685,2523,195,2421,408,177,237,468,240,75,582,159,57,7479,84,7563
012 Hauraki District,012,Hauraki District,4719,5004,5013,2001,1812,906,4719,2283,1803,918,5007,2451,1632,927,5013,930,792,936,663,321,354,3996,723,4722,35800,516,780,1032,828,546,546,4245,762,5007,45600,360,573,1080,723,846,798,4386,627,5013,54300,2790,1635,1350,186,894,177,432,168,573,198,75,324,135,18,4671,48,4722,3126,1641,1374,204,1050,162,192,192,453,309,57,300,159,36,4920,87,5007,3078,1518,1233,123,1317,162,192,192,444,240,102,435,135,21,4968,45,5013
013 Waikato District,013,Waikato District,13746,15381,17223,4983,6168,2595,13746,5688,7047,2643,15381,6771,7443,3009,17223,2055,1548,2523,2229,1482,1488,11325,2418,13746,46500,1212,1461,2292,2475,2580,3009,13026,2352,15378,62500,987,1113,2376,2286,3285,5085,15132,2088,17223,77300,9171,5307,4392,429,1746,366,1113,366,1512,381,378,900,414,69,13527,222,13746,11103,5700,4662,540,1938,384,642,495,1335,444,315,903,507,75,15153,225,15381,12510,5868,4659,489,2667,438,657,534,1365,423,522,1494,510,105,16989,234,17223
015 Matamata-Piako District,015,Matamata-Piako District,7893,8400,8853,3264,3450,1176,7890,3615,3468,1317,8397,4065,3450,1338,8853,1005,981,1584,1476,801,948,6795,1092,7890,47900,627,996,1464,1521,1359,1380,7350,1053,8397,57700,459,636,1539,1386,1785,2139,7947,906,8853,69300,5109,3078,2946,258,1413,273,432,174,636,213,159,501,234,33,7818,72,7893,5712,2937,2874,297,1611,225,186,222,606,249,138,513,294,42,8313,84,8397,6045,2796,2589,258,1926,273,231,252,546,243,174,831,264,48,8772,81,8853
016 Hamilton City,016,Hamilton City,29010,32706,36309,10773,11652,6585,29010,12498,13152,7053,32706,13524,14790,7992,36309,4434,3585,5418,5019,3537,2703,24696,4317,29010,46200,2988,3453,5439,5235,5580,5790,28485,4221,32706,59000,2670,2751,5523,4968,7023,9414,32349,3960,36309,71100,21249,6387,9750,816,3645,1401,2946,723,3483,720,1653,2037,1245,222,28656,354,29010,25134,7077,9804,921,4011,1260,1797,927,3207,903,1545,2391,1605,291,32298,405,32703,27678,7083,8880,765,5082,1239,1980,1344,3450,1005,2343,3801,1398,309,35817,492,36309
017 Waipa District,017,Waipa District,10509,11898,13089,4278,4650,1581,10512,5001,5127,1770,11898,5721,5379,1983,13089,1197,1284,2151,1929,1266,1131,8955,1554,10509,48700,720,1203,2055,2157,2121,2286,10539,1359,11898,62000,498,855,1923,1845,2796,3909,11823,1263,13086,78500,7347,3957,4206,354,1674,405,588,222,807,264,330,630,318,39,10416,93,10509,8829,4197,4266,426,2004,432,195,279,729,282,255,717,459,42,11811,87,11898,9765,4248,4035,339,2526,477,333,306,741,300,381,1143,465,63,13020,69,13089
018 Otorohanga District,018,Otorohanga District,2211,2328,2460,813,1038,360,2211,924,1047,357,2328,1062,1017,378,2460,300,294,456,351,189,267,1854,354,2211,44400,180,213,501,417,321,360,1992,339,2328,55000,129,171,417,435,477,546,2178,282,2460,67100,1449,1053,813,78,294,51,135,66,189,63,30,171,63,3,2193,15,2211,1587,1053,759,90,321,51,72,66,168,69,39,162,66,12,2304,24,2328,1698,978,708,75,414,60,72,54,165,75,63,252,63,9,2430,30,2460
019 South Waikato District,019,South Waikato District,6039,5955,5931,2067,2637,1332,6039,2238,2415,1302,5955,2367,2205,1356,5928,1056,705,1149,945,588,483,4929,1107,6039,42100,693,816,1065,945,816,660,4998,957,5955,48500,516,603,1089,846,960,1068,5085,846,5928,57200,4065,1359,1557,210,828,186,585,183,804,189,129,402,162,48,5952,87,6039,4071,1311,1431,246,990,180,375,222,678,231,126,384,192,27,5868,87,5955,3864,1191,1098,156,1152,147,447,222,672,210,156,567,162,39,5826,105,5931
020 Waitomo District,020,Waitomo District,2463,2490,2385,921,1065,474,2460,981,996,513,2487,966,963,459,2385,369,369,537,408,174,174,2025,435,2460,40600,240,270,495,444,321,276,2046,441,2487,50800,171,180,432,399,438,375,1995,390,2388,59500,1671,873,774,93,351,66,195,72,270,87,54,174,66,15,2433,30,2463,1725,810,723,108,354,51,108,75,228,99,27,174,84,12,2442,48,2490,1686,759,591,69,414,60,54,84,204,78,57,243,63,27,2349,36,2388
021 Taupo District,021,Taupo District,8133,8751,9129,3414,3144,1578,8133,3873,3348,1527,8748,4191,3306,1635,9132,1194,1128,1722,1383,720,531,6684,1449,8133,42100,696,993,1695,1566,1362,1167,7482,1269,8748,54500,552,678,1560,1428,1830,1917,7968,1161,9129,66600,5439,2397,2553,309,1308,393,663,219,891,177,132,513,219,51,8007,123,8133,6285,2658,2688,321,1473,387,201,279,711,201,120,546,258,51,8637,114,8748,6567,2652,2445,234,1929,375,195,276,741,168,180,870,273,54,9036,96,9132
022 Western Bay of Plenty District,022,Western Bay of Plenty District,10620,11802,12735,4821,4221,1578,10620,5493,4659,1653,11802,6315,4614,1803,12732,1644,1638,2235,1656,888,924,8988,1632,10620,40600,1008,1515,2280,2073,1731,1710,10317,1485,11805,53400,810,966,2526,1986,2298,2754,11340,1395,12735,63100,6657,4512,4278,393,2079,480,864,288,933,258,243,696,252,48,10476,141,10617,7920,4995,4725,459,2355,516,219,327,795,279,204,678,348,69,11670,132,11802,8433,4917,4353,342,3159,558,399,369,753,243,333,969,312,96,12594,141,12732
023 Tauranga City,023,Tauranga City,25086,29121,32256,11322,8895,4869,25086,13350,10449,5319,29121,14646,11589,6018,32253,4023,4176,5202,4065,2190,1644,21300,3786,25089,39600,2340,4038,5616,5001,4515,4038,25548,3573,29118,53100,1896,2628,6264,4989,6102,7137,29016,3240,32253,64800,16218,6522,9309,768,5295,1608,2256,657,2718,597,729,1803,777,138,24762,327,25089,20220,7944,10488,885,5973,1581,684,867,2619,720,702,2079,1098,147,28791,327,29121,22419,8382,9906,684,7272,1524,1101,1065,2598,675,1107,3195,1113,240,31947,309,32256
024 Rotorua District,024,Rotorua District,16458,17373,17106,5763,6714,3981,16455,6333,6924,4116,17370,6585,6360,4164,17106,2577,2124,3258,2718,1569,1302,13548,2907,16455,43100,1668,2061,3048,2946,2652,2355,14724,2646,17373,54000,1356,1434,2865,2568,3126,3489,14835,2271,17106,63400,11706,4254,4818,537,2136,657,1479,486,2259,327,531,1182,504,93,16245,213,16455,12909,4416,4698,555,2280,612,906,555,2148,435,411,1227,648,87,17100,270,17370,12510,3918,3903,405,2829,585,873,585,1956,387,639,1608,543,120,16800,306,17106
025 Whakatane District,025,Whakatane District,8619,9072,8811,3087,3450,2082,8622,3444,3528,2097,9072,3594,3225,1995,8811,1587,1182,1458,1200,876,684,6987,1632,8619,40200,918,1161,1464,1317,1242,1242,7347,1725,9072,51900,732,729,1503,1233,1527,1860,7587,1227,8811,62900,5565,2208,2634,324,1263,345,1059,264,1188,219,222,675,210,54,8478,141,8619,6162,2289,2523,279,1428,315,810,369,1023,255,195,567,303,42,8787,282,9072,6078,2160,2235,231,1659,327,567,324,855,204,279,822,264,66,8631,183,8811
026 Kawerau District,026,Kawerau District,1785,1842,1689,561,660,564,1785,648,636,558,1845,618,522,546,1692,411,252,249,255,135,84,1386,399,1788,32100,279,318,321,216,216,141,1494,348,1842,38900,210,225,372,183,195,189,1374,318,1689,41500,1122,156,366,54,252,75,285,72,342,63,45,159,51,9,1743,45,1788,1188,156,306,63,315,63,246,69,309,111,51,123,66,9,1791,54,1845,978,105,216,42,363,63,252,90,297,81,54,138,48,15,1611,81,1689
