Area_Code_and_Description,Code,Description,2001_Census_occupied_private_dwelling_type_Separate_House,2001_Census_occupied_private_dwelling_type_Two_or_More_Flats/Units/Townhouses/_Apartments/Houses_Joined_Together,2001_Census_occupied_private_dwelling_type_Other_Occupied_Private_Dwellings(1),2001_Census_occupied_private_dwelling_type_Occupied_Private_Dwelling_Not_Further_Defined,2001_Census_occupied_private_dwelling_type_Total_occupied_private_dwellings,2006_Census_occupied_private_dwelling_type_Separate_House,2006_Census_occupied_private_dwelling_type_Two_or_More_Flats/Units/Townhouses/_Apartments/Houses_Joined_Together,2006_Census_occupied_private_dwelling_type_Other_Occupied_Private_Dwellings(1),2006_Census_occupied_private_dwelling_type_Occupied_Private_Dwelling_Not_Further_Defined,2006_Census_occupied_private_dwelling_type_Total_occupied_private_dwellings,2013_Census_occupied_private_dwelling_type_Separate_House,2013_Census_occupied_private_dwelling_type_Two_or_More_Flats/Units/Townhouses/_Apartments/Houses_Joined_Together,2013_Census_occupied_private_dwelling_type_Other_Occupied_Private_Dwellings(1),2013_Census_occupied_private_dwelling_type_Occupied_Private_Dwelling_Not_Further_Defined,2013_Census_occupied_private_dwelling_type_Total_occupied_private_dwellings,2001_Census_dwelling_record_type_for_occupied_dwellings_Occupied_Private_Dwelling,2001_Census_dwelling_record_type_for_occupied_dwellings_Occupied_Non-private_Dwelling,2001_Census_dwelling_record_type_for_occupied_dwellings_Total_occupied_dwellings,2006_Census_dwelling_record_type_for_occupied_dwellings_Occupied_Private_Dwelling,2006_Census_dwelling_record_type_for_occupied_dwellings_Occupied_Non-private_Dwelling,2006_Census_dwelling_record_type_for_occupied_dwellings_Total_occupied_dwellings,2013_Census_dwelling_record_type_for_occupied_dwellings_Occupied_Private_Dwelling,2013_Census_dwelling_record_type_for_occupied_dwellings_Occupied_Non-private_Dwelling,2013_Census_dwelling_record_type_for_occupied_dwellings_Total_occupied_dwellings,2001_Census_number_of_rooms_for_occupied_private_dwellings_One_Room,2001_Census_number_of_rooms_for_occupied_private_dwellings_Two_Rooms,2001_Census_number_of_rooms_for_occupied_private_dwellings_Three_Rooms,2001_Census_number_of_rooms_for_occupied_private_dwellings_Four_Rooms,2001_Census_number_of_rooms_for_occupied_private_dwellings_Five_Rooms,2001_Census_number_of_rooms_for_occupied_private_dwellings_Six_Rooms,2001_Census_number_of_rooms_for_occupied_private_dwellings_Seven_Rooms,2001_Census_number_of_rooms_for_occupied_private_dwellings_Eight_or_More_Rooms,2001_Census_number_of_rooms_for_occupied_private_dwellings_Total_dwellings_stated,2001_Census_number_of_rooms_for_occupied_private_dwellings_Not_Elsewhere_Included(2),2001_Census_number_of_rooms_for_occupied_private_dwellings_Total_occupied_private_dwellings,2006_Census_number_of_rooms_for_occupied_private_dwellings_One_Room,2006_Census_number_of_rooms_for_occupied_private_dwellings_Two_Rooms,2006_Census_number_of_rooms_for_occupied_private_dwellings_Three_Rooms,2006_Census_number_of_rooms_for_occupied_private_dwellings_Four_Rooms,2006_Census_number_of_rooms_for_occupied_private_dwellings_Five_Rooms,2006_Census_number_of_rooms_for_occupied_private_dwellings_Six_Rooms,2006_Census_number_of_rooms_for_occupied_private_dwellings_Seven_Rooms,2006_Census_number_of_rooms_for_occupied_private_dwellings_Eight_or_More_Rooms,2006_Census_number_of_rooms_for_occupied_private_dwellings_Total_dwellings_stated,2006_Census_number_of_rooms_for_occupied_private_dwellings_Not_Elsewhere_Included(2),2006_Census_number_of_rooms_for_occupied_private_dwellings_Total_occupied_private_dwellings,2013_Census_number_of_rooms_for_occupied_private_dwellings_One_Room,2013_Census_number_of_rooms_for_occupied_private_dwellings_Two_Rooms,2013_Census_number_of_rooms_for_occupied_private_dwellings_Three_Rooms,2013_Census_number_of_rooms_for_occupied_private_dwellings_Four_Rooms,2013_Census_number_of_rooms_for_occupied_private_dwellings_Five_Rooms,2013_Census_number_of_rooms_for_occupied_private_dwellings_Six_Rooms,2013_Census_number_of_rooms_for_occupied_private_dwellings_Seven_Rooms,2013_Census_number_of_rooms_for_occupied_private_dwellings_Eight_or_More_Rooms,2013_Census_number_of_rooms_for_occupied_private_dwellings_Total_dwellings_stated,2013_Census_number_of_rooms_for_occupied_private_dwellings_Not_Elsewhere_Included(2),2013_Census_number_of_rooms_for_occupied_private_dwellings_Total_occupied_private_dwellings,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_One_Bedroom,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Two_Bedrooms,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Three_Bedrooms,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Four_Bedrooms,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Five_Bedrooms,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Six_Bedrooms,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Seven_Bedrooms,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Eight_or_More_Bedrooms,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Total_dwellings_stated,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Not_Elsewhere_Included(3),2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Total_occupied_private_dwellings,2001_Census_number_of_bedrooms_for_occupied_private_dwellings_Mean_Number_of_Bedrooms,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_One_Bedroom,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Two_Bedrooms,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Three_Bedrooms,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Four_Bedrooms,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Five_Bedrooms,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Six_Bedrooms,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Seven_Bedrooms,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Eight_or_More_Bedrooms,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Total_dwellings_stated,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Not_Elsewhere_Included(3),2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Total_occupied_private_dwellings,2006_Census_number_of_bedrooms_for_occupied_private_dwellings_Mean_Number_of_Bedrooms,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_One_Bedroom,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Two_Bedrooms,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Three_Bedrooms,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Four_Bedrooms,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Five_Bedrooms,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Six_Bedrooms,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Seven_Bedrooms,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Eight_or_More_Bedrooms,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Total_dwellings_stated,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Not_Elsewhere_Included(3),2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Total_occupied_private_dwellings,2013_Census_number_of_bedrooms_for_occupied_private_dwellings_Mean_Number_of_Bedrooms,2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Electricity,2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Mains_Gas,2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Bottled_Gas,2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Wood,2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Coal,2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Solar_Power,2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_No_Fuels_Used_in_this_Dwelling,2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Other_Fuel(s),2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Total_dwellings_stated,2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Not_Elsewhere_Included(5),2001_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Total_occupied_private_dwellings,2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Electricity,2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Mains_Gas,2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Bottled_Gas,2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Wood,2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Coal,2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Solar_Power,2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_No_Fuels_Used_in_this_Dwelling,2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Other_Fuel(s),2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Total_dwellings_stated,2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Not_Elsewhere_Included(5),2006_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Total_occupied_private_dwellings,2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Electricity,2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Mains_Gas,2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Bottled_Gas,2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Wood,2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Coal,2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Solar_Power,2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_No_Fuels_Used_in_this_Dwelling,2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Other_Fuel(s),2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Total_dwellings_stated,2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Not_Elsewhere_Included(5),2013_Census_fuel_types_used_to_heat_dwellings_(total_responses)(4)_for_occupied_private_dwellings_Total_occupied_private_dwellings
00101 Te Hiku Ward,00101,Te Hiku Ward,4902,528,75,876,6378,5328,453,144,600,6522,5442,396,138,882,6855,6378,57,6438,6522,57,6579,6858,60,6915,78,135,378,633,1182,1473,786,915,5577,801,6378,69,153,411,627,1119,1524,960,1074,5937,582,6522,87,105,318,648,1134,1599,984,1140,6018,840,6855,423,1191,2619,1044,225,45,18,36,5604,777,6378,3,426,1206,2874,1074,231,63,12,15,5904,618,6522,3,447,1236,2811,1227,279,57,18,15,6090,768,6858,3,3201,57,1506,2682,129,132,420,24,5613,768,6378,3462,33,1797,2784,135,141,384,90,5991,531,6522,3471,30,1263,2790,111,162,540,63,6051,807,6855
00102 Bay of Islands-Whangaroa Ward,00102,Bay of Islands-Whangaroa Ward,6732,768,174,897,8574,7494,744,210,891,9336,8139,747,189,1080,10155,8571,159,8733,9333,156,9492,10155,180,10335,90,162,426,732,1443,2016,1359,1488,7713,861,8574,81,192,495,732,1467,2106,1509,1968,8550,786,9336,99,156,411,825,1509,2220,1677,2265,9156,996,10155,504,1473,3603,1635,372,81,24,42,7731,843,8574,3.1,531,1527,4038,1782,447,87,12,24,8442,894,9336,3.1,591,1566,4227,2175,513,87,27,24,9219,939,10155,3.1,4770,78,2334,3981,192,171,393,54,7710,861,8574,5565,51,2589,4281,165,243,396,147,8601,735,9336,6096,54,1773,4545,135,285,447,132,9174,978,10155
00103 Kaikohe-Hokianga Ward,00103,Kaikohe-Hokianga Ward,3555,324,51,678,4611,3627,261,90,639,4617,3693,270,99,705,4764,4608,27,4635,4617,24,4641,4764,33,4797,60,114,261,438,888,1050,588,579,3975,633,4611,60,138,285,411,861,1017,552,690,4014,603,4617,63,84,207,489,849,1152,603,651,4095,669,4764,285,801,1944,735,153,39,15,33,4005,603,4608,3,279,828,1959,726,165,45,6,12,4017,600,4617,3,327,852,1986,741,171,48,12,9,4143,621,4764,3,2352,27,1146,2358,174,48,249,24,4023,585,4611,2334,30,1314,2292,156,51,228,69,4074,543,4617,2337,18,963,2310,111,75,294,54,4107,657,4764
00201 Mangakahia-Maungatapere Ward,00201,Mangakahia-Maungatapere Ward,1317,66,9,114,1503,1536,81,39,162,1821,1842,81,33,171,2127,1503,0,1506,1821,0,1821,2127,0,2130,6,12,42,96,171,315,333,408,1386,117,1503,12,21,72,87,195,363,339,579,1674,147,1821,18,15,42,114,207,396,414,771,1977,150,2127,48,162,642,405,111,24,3,6,1395,108,1503,3.3,78,165,756,510,108,18,3,3,1638,180,1821,3.3,69,186,837,705,156,24,3,6,1992,135,2127,3.4,837,15,426,960,39,18,36,12,1398,108,1503,1032,12,558,1065,39,24,48,21,1695,126,1821,1257,18,402,1197,24,45,51,21,1980,147,2127
00202 Hikurangi-Coastal Ward,00202,Hikurangi-Coastal Ward,2787,177,72,360,3396,3288,153,126,279,3846,3642,165,126,357,4290,3396,21,3417,3849,15,3861,4290,24,4314,27,66,147,273,477,843,570,753,3156,240,3396,48,75,174,276,456,870,687,1041,3630,216,3846,45,69,159,297,588,906,720,1215,3993,297,4293,198,498,1437,795,180,39,12,18,3177,219,3396,3.2,219,525,1641,900,222,45,6,9,3564,282,3846,3.2,240,588,1650,1167,279,69,12,6,4011,279,4293,3.2,1806,12,1086,1956,87,30,126,21,3168,228,3396,2070,15,1263,2199,93,57,129,45,3639,210,3846,2457,12,831,2406,60,72,135,33,4002,288,4293
00203 Whangarei Heads Ward,00203,Whangarei Heads Ward,1587,117,39,198,1941,2016,99,63,141,2322,2253,114,36,183,2586,1941,12,1953,2322,6,2328,2586,15,2601,21,36,75,120,255,444,390,495,1839,102,1941,24,45,102,150,270,483,444,693,2208,114,2322,12,33,84,159,297,558,516,777,2436,150,2586,111,288,825,471,114,15,9,6,1839,102,1941,3.2,138,351,939,558,147,27,3,3,2169,153,2322,3.1,111,375,1026,687,192,33,6,3,2430,156,2586,3.3,1143,15,618,1068,36,30,60,9,1845,99,1941,1365,9,759,1251,57,45,66,30,2220,99,2322,1563,9,489,1371,36,75,57,18,2436,150,2586
00204 Denby Ward,00204,Denby Ward,4896,831,6,531,6264,5169,996,18,462,6645,5373,1077,12,528,6990,6264,12,6276,6645,15,6657,6990,21,7014,9,51,297,504,1137,1968,1005,942,5910,357,6264,21,87,312,516,1032,1968,1119,1161,6213,432,6645,21,48,246,540,1203,2007,1203,1221,6489,504,6990,264,1056,3279,1101,162,27,12,24,5925,339,6264,3,288,1059,3465,1140,204,45,0,6,6204,438,6645,3,276,1200,3393,1386,213,42,12,12,6537,453,6990,3.1,3822,378,2010,2640,180,27,261,51,5907,357,6264,4140,414,2169,2628,195,51,225,90,6249,393,6645,4797,351,1200,2316,105,63,309,72,6498,492,6990
00205 Okara Ward,00205,Okara Ward,6390,1623,90,894,9000,6642,1974,141,705,9459,6711,1833,150,744,9438,8997,78,9075,9459,60,9519,9438,81,9516,42,150,468,1008,1758,2436,1320,1377,8556,441,9000,69,189,531,1008,1695,2433,1398,1536,8862,597,9459,75,117,408,993,1683,2469,1425,1491,8658,777,9438,495,2178,4107,1407,246,51,18,48,8547,450,8997,2.9,591,2163,4257,1485,258,36,9,12,8811,648,9459,2.9,537,2124,4194,1515,300,42,9,15,8739,699,9435,2.9,5709,462,2760,3468,282,57,453,81,8544,453,9000,6129,465,2967,3375,252,60,375,174,8919,540,9459,6444,414,1725,2919,156,102,453,114,8706,729,9438
00206 Bream Bay Ward,00206,Bream Bay Ward,2814,246,45,297,3402,3366,246,96,237,3939,3990,195,72,348,4608,3399,18,3417,3942,18,3960,4608,24,4629,24,48,147,225,516,936,612,672,3180,219,3402,33,72,171,297,570,1011,705,894,3750,189,3942,18,48,144,285,624,1158,852,1143,4275,336,4608,168,447,1632,729,168,30,9,21,3204,198,3402,3.2,210,531,1851,891,186,27,3,6,3702,240,3939,3.1,207,516,2076,1167,270,42,18,9,4302,306,4608,3.2,1872,21,1089,1656,87,24,162,12,3192,210,3402,2268,18,1347,1773,78,54,162,51,3747,195,3942,2706,18,960,1959,54,75,237,45,4278,330,4608
00301 Dargaville Ward,00301,Dargaville Ward,1341,171,3,171,1686,1392,216,6,120,1737,1434,210,9,150,1803,1689,36,1722,1737,12,1752,1803,15,1818,9,21,69,153,345,489,276,243,1608,78,1686,6,15,75,138,333,495,300,270,1632,102,1737,9,9,72,150,327,507,276,306,1650,150,1803,75,321,852,288,60,12,3,6,1617,69,1686,3,72,333,858,279,63,18,0,3,1626,111,1737,3,78,324,882,300,63,12,0,6,1668,132,1803,3,1008,12,489,888,51,3,72,12,1614,72,1686,1017,6,516,864,54,9,75,27,1638,99,1737,1065,6,324,765,27,21,117,27,1650,150,1803
00302 West Coast-Central Ward,00302,West Coast-Central Ward,2007,90,30,234,2364,2061,51,42,225,2382,2202,63,45,207,2517,2364,27,2388,2385,12,2394,2520,12,2529,18,39,81,156,408,594,435,477,2208,156,2364,15,27,93,147,357,567,450,564,2214,165,2382,12,24,69,159,384,621,441,612,2325,195,2517,90,249,1107,567,138,30,12,15,2214,150,2364,3.3,81,255,1065,585,150,33,6,6,2178,207,2385,3.3,102,264,1098,666,168,27,9,12,2352,165,2517,3.3,1221,15,579,1545,51,12,72,21,2214,150,2364,1224,9,645,1536,51,12,78,27,2220,162,2382,1260,9,417,1545,48,27,114,27,2346,171,2517
00303 Otamatea Ward,00303,Otamatea Ward,2046,138,33,279,2493,2490,105,81,198,2874,3105,123,78,270,3570,2493,24,2520,2874,24,2901,3570,21,3591,21,45,135,216,399,621,438,498,2379,114,2496,33,54,183,219,423,672,483,672,2739,135,2874,39,60,138,315,489,855,606,849,3348,225,3570,147,387,1056,576,147,45,9,15,2379,114,2496,3.2,204,423,1236,603,177,39,12,6,2700,171,2874,3.1,231,534,1503,825,207,51,18,6,3378,192,3573,3.1,1380,9,615,1491,51,27,99,12,2379,114,2496,1692,15,834,1602,75,48,99,27,2754,120,2874,2112,9,663,1770,42,66,165,30,3366,204,3570
01101 Coromandel-Colville Ward,01101,Coromandel-Colville Ward,888,90,27,228,1236,1011,87,51,105,1254,1029,78,54,117,1278,1236,45,1281,1257,39,1293,1278,48,1326,30,54,84,147,231,246,162,138,1095,141,1236,27,57,87,129,213,297,162,204,1176,81,1254,27,42,78,144,234,273,171,210,1179,99,1278,126,303,438,162,39,12,3,12,1092,141,1236,2.8,150,294,477,189,48,12,9,3,1182,75,1254,2.8,135,303,468,210,54,15,3,6,1188,90,1278,2.9,537,9,330,690,42,27,54,6,1101,135,1236,675,9,354,756,48,36,30,18,1188,66,1254,699,6,225,735,18,33,42,9,1185,93,1278
01102 Mercury Bay Ward,01102,Mercury Bay Ward,1773,216,33,405,2427,2430,204,102,141,2877,2772,264,66,204,3309,2430,66,2493,2877,48,2925,3309,75,3381,27,51,135,261,447,618,324,438,2298,129,2430,51,81,198,264,474,648,447,600,2760,114,2877,27,48,165,300,474,822,558,741,3144,165,3309,138,570,1017,405,117,33,9,12,2298,129,2427,3,216,621,1188,549,153,42,9,9,2784,93,2877,3,186,627,1392,702,189,39,12,12,3156,153,3309,3.1,1269,15,876,1098,78,36,105,18,2304,123,2430,1716,15,1062,1194,84,63,111,42,2781,93,2877,2079,27,798,1296,48,102,144,42,3150,159,3309
01103 Thames Ward,01103,Thames Ward,3231,462,57,354,4107,3540,498,90,165,4287,3579,585,66,204,4434,4104,42,4146,4287,36,4323,4434,36,4470,36,72,189,393,744,1086,675,726,3921,186,4107,39,90,225,381,750,1038,741,882,4143,147,4290,39,75,186,414,753,1107,753,900,4230,204,4437,225,846,1914,732,144,27,12,21,3918,186,4107,3,273,879,1974,810,183,33,9,18,4179,111,4290,3,282,918,1983,852,174,42,9,9,4266,168,4434,3,2469,21,1461,2298,429,42,96,45,3939,168,4107,2790,27,1572,2265,324,57,75,63,4167,123,4290,3126,21,993,2127,189,69,99,42,4260,177,4437
01104 South Eastern Ward,01104,South Eastern Ward,2316,294,27,459,3093,2484,273,48,159,2961,2547,249,54,129,2979,3090,39,3132,2961,42,3006,2976,45,3024,18,57,156,279,576,774,507,543,2907,180,3090,18,51,147,270,525,726,486,603,2829,132,2961,30,27,105,300,456,690,528,729,2865,111,2976,126,723,1353,555,120,15,9,9,2907,180,3090,3,132,681,1305,555,138,21,6,9,2847,111,2961,3,132,582,1281,678,156,39,9,15,2889,93,2979,3.1,1803,15,1146,1290,99,45,93,21,2907,180,3090,1872,27,1071,1179,75,54,66,42,2838,123,2961,2094,24,705,1107,39,63,93,27,2874,105,2976
