Area_Code_and_Description,Code,Description,2001_Census_total_families_in_occupied_private_dwellings,2006_Census_total_families_in_occupied_private_dwellings,2013_Census_total_families_in_occupied_private_dwellings,2001_Census_family_type_for_families_in_occupied_private_dwellings_Couple_without_children,2001_Census_family_type_for_families_in_occupied_private_dwellings_Couple_with_child(ren),2001_Census_family_type_for_families_in_occupied_private_dwellings_One_parent_with_child(ren),2001_Census_family_type_for_families_in_occupied_private_dwellings_Total_families_in_occupied_private_dwellings,2006_Census_family_type_for_families_in_occupied_private_dwellings_Couple_without_children,2006_Census_family_type_for_families_in_occupied_private_dwellings_Couple_with_child(ren),2006_Census_family_type_for_families_in_occupied_private_dwellings_One_parent_with_child(ren),2006_Census_family_type_for_families_in_occupied_private_dwellings_Total_families_in_occupied_private_dwellings,2013_Census_family_type_for_families_in_occupied_private_dwellings_Couple_without_children,2013_Census_family_type_for_families_in_occupied_private_dwellings_Couple_with_child(ren),2013_Census_family_type_for_families_in_occupied_private_dwellings_One_parent_with_child(ren),2013_Census_family_type_for_families_in_occupied_private_dwellings_Total_families_in_occupied_private_dwellings,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$20000_or_Less,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$20001–$30000,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$30001–$50000,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$50001–$70000,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$70001–$100000,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$100001_or_More,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Total_families_stated,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Not_Stated(4),2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Total_families_in_occupied_private_dwellings,2001_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Median_family_income_($)(5)(10),2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$20000_or_Less,2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$20001–$30000,2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$30001–$50000,2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$50001–$70000,2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$70001–$100000,2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$100001_or_More,2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Total_families_stated,2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Not_Stated(4),2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Total_families_in_occupied_private_dwellings,2006_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Median_family_income_($)(5)(10),2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$20000_or_Less,2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$20001–$30000,2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$30001–$50000,2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$50001–$70000,2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$70001–$100000,2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_$100001_or_More,2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Total_families_stated,2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Not_Stated(4),2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Total_families_in_occupied_private_dwellings,2013_Census_total_family_income_(grouped)(1)(2)(3)_for_families_in_occupied_private_dwellings_Median_family_income_($)(5)(10),2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Wages_Salary_Commissions_Bonuses_etc,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Self-employment_or_Business,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Interest_Dividends_Rent_Other_Invest.,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Payments_from_a_Work_Accident_Insurer,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_NZ_Superannuation_or_Veterans_Pension,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Other_Super._Pensions_Annuities,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Unemployment_Benefit,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Sickness_Benefit,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Domestic_Purposes_Benefit,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Invalids_Benefit,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Student_Allowance,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Other_Govt_Benefits_Payments_or_Pension,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Other_Sources_of_Income,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_No_Source_of_Income_During_That_Time,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Total_families_stated,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Not_Stated,2001_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Total_families_in_occupied_private_dwellings,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Wages_Salary_Commissions_Bonuses_etc,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Self-employment_or_Business,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Interest_Dividends_Rent_Other_Invest.,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Payments_from_a_Work_Accident_Insurer,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_NZ_Superannuation_or_Veterans_Pension,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Other_Super._Pensions_Annuities,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Unemployment_Benefit,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Sickness_Benefit,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Domestic_Purposes_Benefit,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Invalids_Benefit,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Student_Allowance,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Other_Govt_Benefits_Payments_or_Pension,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Other_Sources_of_Income,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_No_Source_of_Income_During_That_Time,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Total_families_stated,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Not_Stated,2006_Census_sources_of_family_income(6)(7)(8)(9)_for_families_in_occupied_private_dwellings_Total_families_in_occupied_private_dwellings,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Wages_Salary_Commissions_Bonuses_etc,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Self-employment_or_Business,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Interest_Dividends_Rent_Other_Invest.,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Payments_from_a_Work_Accident_Insurer,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_NZ_Superannuation_or_Veterans_Pension,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Other_Super._Pensions_Annuities,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Unemployment_Benefit,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Sickness_Benefit,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Domestic_Purposes_Benefit,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Invalids_Benefit,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Student_Allowance,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Other_Govt_Benefits_Payments_or_Pension,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Other_Sources_of_Income,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_No_Source_of_Income_During_That_Time,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Total_families_stated,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Not_Stated,2013_Census_sources_of_family_income(5)(6)(7)(8)_for_families_in_occupied_private_dwellings_Total_families_in_private_occupied_dwellings
00101 Te Hiku Ward,00101,Te Hiku Ward,4281,4515,4455,1638,1662,984,4281,1794,1671,1050,4515,1842,1518,1095,4455,942,780,813,465,228,195,3426,855,4281,29900,597,756,939,597,462,327,3678,837,4512,38600,459,621,933,612,597,534,3759,693,4455,46700,2403,1158,981,156,762,171,606,207,576,216,93,402,99,30,4179,105,4281,2781,1287,963,159,786,141,354,246,579,261,57,294,129,45,4392,123,4515,2631,1170,855,102,972,165,333,192,570,225,102,387,99,42,4350,105,4455
00102 Bay of Islands-Whangaroa Ward,00102,Bay of Islands-Whangaroa Ward,5973,6663,6975,2646,2199,1125,5973,3093,2412,1161,6663,3417,2283,1275,6975,1104,978,1230,792,390,399,4893,1080,5973,35600,645,933,1332,1035,858,744,5550,1113,6663,47600,594,684,1416,1119,1128,1086,6030,945,6975,55400,3471,2262,1971,171,1044,339,594,228,627,213,120,489,159,36,5862,108,5973,4296,2529,2151,186,1218,327,297,225,513,180,81,420,189,45,6513,150,6663,4281,2376,2001,189,1707,405,309,249,567,177,132,582,162,51,6855,123,6975
00103 Kaikohe-Hokianga Ward,00103,Kaikohe-Hokianga Ward,3204,3183,3126,1020,1215,972,3204,1017,1170,993,3186,1140,1005,981,3129,882,516,516,270,159,120,2463,741,3207,27500,480,528,579,414,234,180,2418,768,3183,35700,462,432,606,369,366,249,2487,642,3129,39400,1614,768,534,111,468,96,600,183,630,186,108,372,84,24,3114,90,3204,1842,756,492,111,480,72,411,246,519,222,69,222,96,27,3069,114,3183,1713,699,381,81,588,93,312,228,537,198,111,258,78,24,3018,111,3126
00201 Mangakahia-Maungatapere Ward,00201,Mangakahia-Maungatapere Ward,1203,1440,1659,483,558,162,1203,618,648,177,1440,756,714,189,1659,132,132,243,183,144,147,984,219,1203,49100,87,141,246,216,234,303,1230,210,1440,62800,78,105,252,228,342,468,1476,183,1659,76400,801,603,474,39,171,30,96,18,66,21,24,84,27,6,1185,18,1203,1029,645,525,60,222,51,54,30,72,27,27,84,36,6,1419,21,1440,1179,693,591,57,342,51,57,36,69,36,33,138,48,12,1644,12,1659
00202 Hikurangi-Coastal Ward,00202,Hikurangi-Coastal Ward,2550,3006,3195,1020,1119,408,2547,1281,1263,456,3003,1449,1245,501,3192,393,342,501,390,249,225,2100,450,2550,42500,243,378,531,507,453,441,2547,456,3006,55000,213,264,543,438,630,729,2820,375,3195,67800,1635,1038,903,93,381,105,246,63,216,57,60,174,69,18,2517,33,2550,2043,1203,999,111,465,111,150,75,204,78,60,165,108,18,2961,48,3006,2154,1137,936,99,630,132,150,96,222,66,69,279,87,21,3153,42,3195
00203 Whangarei Heads Ward,00203,Whangarei Heads Ward,1509,1791,1947,711,618,180,1509,876,723,192,1791,1026,741,183,1950,192,183,306,240,165,165,1251,261,1509,46400,123,195,297,321,315,321,1569,222,1791,60900,78,126,330,312,354,531,1734,216,1950,71700,1008,618,648,51,219,63,108,30,81,18,21,96,45,6,1485,27,1509,1263,744,690,63,297,96,51,39,69,30,27,99,60,6,1773,18,1791,1365,759,690,69,429,96,51,39,69,27,27,141,51,6,1932,15,1950
00204 Denby Ward,00204,Denby Ward,4449,4818,4833,1719,1590,1140,4449,1794,1803,1224,4818,1863,1656,1317,4836,828,747,882,657,354,222,3687,759,4449,35900,468,750,924,774,642,498,4056,759,4818,47200,393,501,987,741,837,762,4221,612,4833,55900,2841,879,1323,114,855,249,483,159,666,168,117,405,126,30,4398,51,4449,3282,927,1254,162,936,216,288,171,630,189,93,348,213,36,4722,99,4818,3204,813,1038,132,1059,213,309,201,651,198,141,492,132,36,4764,69,4833
00205 Okara Ward,00205,Okara Ward,5856,6207,5937,2448,1986,1425,5856,2712,1992,1503,6207,2496,1905,1539,5937,1068,954,1152,924,519,348,4965,891,5856,38000,606,1026,1260,948,852,720,5412,795,6207,46800,486,588,1236,885,1014,942,5151,786,5937,55900,3828,1281,1827,198,1128,321,621,177,813,168,198,456,186,27,5784,72,5856,4323,1350,1809,219,1242,309,306,234,756,195,186,423,225,21,6129,78,6207,4017,1065,1311,141,1245,252,390,234,729,204,198,591,150,30,5829,108,5934
00206 Bream Bay Ward,00206,Bream Bay Ward,2475,2952,3357,1044,999,432,2478,1314,1128,507,2952,1602,1167,591,3357,417,378,474,387,198,177,2034,444,2478,38800,246,399,555,492,447,375,2511,438,2952,52200,231,309,639,498,588,696,2955,405,3360,61000,1533,885,807,87,441,99,252,90,264,72,57,189,72,18,2451,27,2478,1959,1011,888,120,516,99,114,99,255,87,36,186,84,24,2907,45,2952,2196,1059,903,90,750,123,126,117,294,72,69,267,81,24,3306,54,3357
00301 Dargaville Ward,00301,Dargaville Ward,1125,1110,1071,453,420,252,1125,477,384,252,1110,468,342,261,1071,219,207,255,144,63,54,939,186,1125,33400,126,219,216,180,117,81,939,171,1110,40800,90,126,270,165,177,96,927,147,1071,47800,735,279,336,39,234,42,102,63,159,54,24,102,30,6,1119,6,1125,714,258,300,42,264,48,60,51,141,54,12,78,30,6,1101,12,1110,693,204,222,42,303,30,60,39,117,45,33,102,30,9,1059,15,1074
00302 West Coast-Central Ward,00302,West Coast-Central Ward,1725,1701,1713,705,756,264,1722,750,729,222,1701,819,660,234,1713,288,258,330,246,141,174,1434,288,1725,40500,150,243,399,267,189,204,1449,252,1701,46500,117,147,342,294,294,276,1470,246,1713,58400,1002,867,537,72,246,54,132,69,141,75,24,129,36,6,1704,21,1725,1050,813,501,81,300,45,72,78,105,75,12,102,42,9,1677,24,1701,1041,720,408,54,342,57,60,78,114,66,42,147,42,6,1692,24,1713
00303 Otamatea Ward,00303,Otamatea Ward,1767,2061,2451,798,717,255,1770,960,783,315,2061,1284,816,351,2454,297,312,366,222,117,132,1449,321,1767,35800,204,336,438,354,240,219,1794,267,2061,46000,201,261,564,372,387,381,2169,282,2454,52600,1014,786,591,63,315,57,156,51,150,39,30,147,33,6,1734,33,1767,1242,945,639,90,372,72,66,75,162,60,24,129,57,21,2040,24,2061,1422,987,723,78,636,96,81,108,180,60,27,195,75,30,2427,24,2451
01101 Coromandel-Colville Ward,01101,Coromandel-Colville Ward,735,804,777,357,237,141,735,411,240,153,804,426,210,138,777,192,147,135,69,27,30,600,135,735,28000,111,135,171,120,69,60,666,135,804,38900,66,108,192,99,114,90,666,108,774,46200,357,258,210,36,165,42,84,30,87,33,12,72,18,6,714,21,735,477,306,243,39,162,36,33,42,75,27,6,36,24,6,789,18,804,441,273,231,21,216,39,27,30,63,42,9,63,15,6,762,12,777
01102 Mercury Bay Ward,01102,Mercury Bay Ward,1527,1902,2100,813,483,231,1527,1047,603,258,1905,1254,582,264,2103,270,297,357,180,81,69,1257,273,1527,33200,162,273,435,315,264,189,1638,267,1905,47400,138,222,528,366,369,273,1890,210,2100,53300,849,696,516,60,318,75,117,39,132,30,9,87,39,9,1503,24,1524,1176,876,711,66,375,78,36,60,141,36,21,93,57,9,1887,15,1902,1233,957,729,57,597,111,45,42,123,36,27,162,54,21,2079,24,2100
01103 Thames Ward,01103,Thames Ward,2775,2943,2814,1332,990,450,2775,1506,975,462,2940,1491,840,486,2814,465,456,567,447,222,195,2352,423,2775,39600,252,513,585,450,387,369,2559,384,2940,47000,201,330,639,414,456,477,2517,297,2817,53900,1749,792,990,87,642,174,192,69,243,93,36,159,60,9,2754,21,2775,1911,861,1011,99,750,159,87,114,216,117,24,156,78,9,2910,30,2943,1776,771,837,75,861,129,81,114,186,108,36,237,57,21,2784,30,2817
01104 South Eastern Ward,01104,South Eastern Ward,1929,1839,1872,1185,474,273,1932,1092,492,252,1842,1203,453,219,1872,372,498,369,222,75,93,1629,300,1932,29300,189,354,396,285,186,189,1602,237,1839,41900,108,216,501,303,300,264,1686,183,1869,51500,894,603,738,57,672,198,129,54,156,66,15,117,39,12,1905,27,1932,993,669,777,51,597,135,51,57,120,66,6,93,39,9,1821,21,1842,954,681,726,39,750,129,21,48,93,54,6,126,33,9,1854,15,1869
01201 Plains Ward,01201,Plains Ward,1509,1659,1713,606,663,243,1509,747,681,231,1659,825,624,258,1713,201,201,306,261,135,174,1278,231,1509,45200,123,186,336,303,234,240,1419,240,1659,54000,90,141,315,258,360,363,1524,186,1710,66800,933,669,507,39,228,39,96,24,144,36,21,75,39,6,1488,21,1509,1077,660,507,72,309,33,39,39,108,45,15,105,45,9,1635,24,1659,1095,633,477,45,405,36,39,42,105,48,27,135,45,6,1692,18,1710
01202 Paeroa Ward,01202,Paeroa Ward,1470,1545,1494,651,522,300,1470,705,519,324,1545,720,474,303,1497,291,252,285,204,105,96,1233,234,1467,34900,174,237,297,249,159,159,1272,273,1545,45100,105,186,351,204,237,192,1272,222,1497,49900,885,444,414,72,291,57,159,66,195,78,24,93,39,6,1455,15,1470,966,432,381,60,336,48,72,72,162,108,21,84,51,12,1512,36,1545,900,396,330,39,399,66,78,66,150,87,30,141,36,9,1485,12,1497
01203 Waihi Ward,01203,Waihi Ward,1740,1803,1806,747,630,366,1740,834,606,363,1803,906,534,366,1806,435,339,342,198,84,87,1485,258,1740,29300,219,363,399,273,150,153,1554,249,1800,38000,168,246,417,264,249,249,1590,216,1806,47700,969,522,426,81,375,81,180,78,237,90,27,156,57,9,1728,12,1740,1080,546,483,75,405,84,78,78,180,159,18,114,60,12,1773,27,1803,1083,492,429,39,516,60,72,81,189,108,45,162,54,6,1791,18,1806
01301 Awaroa ki Tuakau Ward,01301,Awaroa ki Tuakau Ward,2073,2490,2787,783,954,333,2073,936,1146,405,2487,1077,1224,486,2787,252,210,354,399,303,210,1728,345,2073,52400,183,222,390,402,435,516,2145,342,2490,63900,159,168,375,381,555,810,2451,336,2787,77700,1497,810,639,42,264,54,99,39,183,30,36,102,57,12,2037,36,2073,1851,909,732,90,315,66,66,48,204,45,39,132,66,12,2460,30,2490,2049,918,639,63,441,75,99,75,231,51,63,225,75,12,2760,27,2787
